Title#0,"""Braver Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Photon Art Just Attacks<br>Task 2: Counter Training<br>Task 3: Katana Gear training<br>Task 4: Using Bullet Bows in shoulder view<br>Task 5: Live combat"""
SimpleExplanation#0,"""Complete 5 tasks!"""
Training1#0,"""Perform a Just Attack PA"""
Training2#0,"""Successfully Perform a Counter"""
Training3#0,"""Activate Gear with a Counter"""
Training4#0,"""Aim at Weak Points"""
Training5#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
