Title#0,"""Dark Blast Basics"""
Explanation#0,"""Task 1: Activating Dark Blast<br>Task 2: Combo Attacks<br>Task 3: Destroying Devil Walls<br>Task 4: Using Darkness Wall<br>Task 5: Using Ultimate Impact<br>Task 6: Live combat"""
SimpleExplanation#0,"""Complete 6 tasks!"""
Training1#0,"""Activate Dark Blast"""
Training2#0,"""Use your third Normal Attack"""
Training2_1#0,"""Use your fifth Normal Attack"""
Training3#0,"""Destroy the Devil Wall with a PA"""
Training4#0,"""Use Darkness Wall"""
Training5#0,"""Use Ultimate Impact"""
Training6#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
