Title#0,"""Fighter Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Twin Dagger Gear training<br>Task 2: Double Saber Gear training<br>Task 3: Knuckle Gear training<br>Task 4: Using Brave Stance<br>Task 5: Using Wise Stance<br>Task 6: Live combat"""
SimpleExplanation#0,"""Complete 6 tasks!"""
Training1#0,"""Build Gear and Use Photon Arts"""
Training2#0,"""Use Gear to Activate Kamaitachi"""
Training3#0,"""Reach Maximum Gear"""
Training4#0,"""Defeat the Enemies with Brave Stance"""
Training5#0,"""Defeat the Enemies with Wise Stance"""
Training6#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
