Title#0,"""Hunter Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Photon Art Just Attacks<br>Task 2: Just Guard training<br>Task 3: Sword Gear training<br>Task 4: Wired Lance Gear training<br>Task 5: Partizan Gear training<br>Task 6: Live combat"""
SimpleExplanation#0,"""Complete 6 tasks!"""
Training1#0,"""Perform a Just Attack PA"""
Training2#0,"""Perform a Just Guard"""
Training3#0,"""Build Gear and Use Photon Arts"""
Training4#0,"""Build Gear and Use Photon Arts"""
Training5#0,"""Build Gear and Use Photon Arts"""
Training6#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
