Title#0,"""Phantom Basics"""
Explanation#0,"""Task 1: Use Stealth Tech Charge<br>Task 2: Use the Rod Weapon Action and PAs<br>Task 3: Use Rod Shift PAs and Techniques<br>Task 4: Use the Katana Weapon Action and PAs<br>Task 5: Use Katana Shift PAs<br>Task 6: Use the Rifle Weapon Action and PAs<br>Task 7: Use Rifle Shift PAs<br>Task 8: Use Phantom Marker<br>Task 9: Use Phantom Time Finish<br>Task 10: Live combat"""
SimpleExplanation#0,"""Complete 10 tasks!"""
Training1#0,"""Turn invisible with Stealth Tech Charge"""
Training2_1#0,"""Use the Rod Weapon Action"""
Training2_2#0,"""Use Rod PAs"""
Training2_3#0,"""Use Rod Shift PAs"""
Training3_1#0,"""Use PAs after Rod Shift PAs"""
Training3_2#0,"""Use Rod Techniques on an enemy"""
Training4_1#0,"""Use the Katana Weapon Action"""
Training4_2#0,"""Use Katana PAs"""
Training4_3#0,"""Use Katana Shift PAs"""
Training5#0,"""Use PAs after Katana Shift PAs"""
Training6_1#0,"""Use the Rifle Weapon Action"""
Training6_2#0,"""Use Rifle PAs"""
Training6_3#0,"""Use Rifle Shift PAs"""
Training7#0,"""Use PAs after Rifle Shift PAs"""
Training8_1#0,"""Place a marker"""
Training8_2#0,"""Detonate a marker"""
Training9_1#0,"""Gain Phantom Gear"""
Training9_2#0,"""Activate Phantom Time Finish"""
Training10#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
Retry_7#0,"""Task 7"""
Retry_8#0,"""Task 8"""
Retry_9#0,"""Task 9"""
Retry_10#0,"""Task 10"""
