Title#0,"""Force Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Technique Just Attacks<br>Task 2: Consecutive Technique JAs<br>Task 3: Charged Technique JAs<br>Task 4: Using Talises<br>Task 5: Live combat"""
SimpleExplanation#0,"""Complete 5 tasks!"""
Training1#0,"""Perform a Just Attack Technique"""
Training2#0,"""Perform Consecutive Just Attacks With a Technique"""
Training3#0,"""Just Attack With a Charged Technique"""
Training4#0,"""Place a Charged Technique With a Talis"""
Training4_1#0,"""Attack All Enemies Simultaneously"""
Training5#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
