Title#0,"""Summoner Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Registering and Setting Pets<br>Task 2: Pet Auto Attack<br>Task 3: Using Point Assist<br>Task 4: Live combat"""
SimpleExplanation#0,"""Complete 4 tasks!"""
Training1#0,"""Register a Pet"""
Training1_1#0,"""Set a Pet"""
Training2#0,"""Attack With a Pet"""
Training3#0,"""Complete a Point Assist"""
Training4#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
