Title#0,"""T:﻿ Боевая подготовка на VR планете"""
Explanation#0,"""Основная задача - провести практическую<br>тренировку в VR пространстве.<br>Цель состоит в том, чтобы провести боевую<br>подготовку на VR планете, основанной на<br>новейших компьютерных данных и предполагает<br>боевую среду, в которой ARKS не имеют опыта.<br>Все члены ARKS должны принять активное участие.<br>――――――――――――――――――――<br>Наберите [704] очков квеста для прохождения.<br>Очки общие для комнаты."""
NpcComMsg1#0,"""Скоро начнётся тренировка.<br>Цель состоит в том, чтобы<br>достить необходимого количества<br>очков квеста и одолеть<br>появившегося врага."""
NpcComMsg2#0,"""Тренировочной площадкой выступит<br>VR планета, предполагающая<br>боевую среду, в которой ARKS<br>не имеют опыта."""
NpcComMsg3#0,"""Однако, раз планета основана<br>на основе вычисленных данных,<br>то она будет иметь высокую<br>вероятность появления<br>в действительности, что и меня<br>беспокоит.<br>Будьте осторожны и,<br>пожалуйста, постарайтесь."""
SimpleExplanation#0,"""Наберите очки квестов!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""VR планета: Type E"""
Area0L#0,"""VR планета: Type E"""
QuestInfoAreaName#0,"""VR планета: Type E"""
