text_001#0,"""This cafe is nice. You can relax here and the food is great. It's awesome."""
Npc44_01_010#0,"""アークスが居るから、おれたちは<br>こうしてのんびり暮らせてるんだよな。<br>感謝してもし足りないぜ。"""
Npc44_02_010#0,"""アークスが居るから、おれたちは<br>こうしてのんびり暮らせてるんだよな。<br>感謝してもし足りないぜ。"""
Npc44_03_010#0,"""アークスが居るから、おれたちは<br>こうしてのんびり暮らせてるんだよな。<br>感謝してもし足りないぜ。"""
Npc44_04_010#0,"""アークスっつっても、慈善事業じゃ<br>ないんだよな。依頼するときには<br>きちんと報酬用意しないとなぁ。"""
Npc44_04_020#0,"""いや、このまえ無償で依頼をしちゃって<br>すごい申し訳ない気持ちになったんだ。"""
Npc44_05_010#0,"""アークスっつっても、慈善事業じゃ<br>ないんだよな。依頼するときには<br>きちんと報酬用意しないとなぁ。"""
Npc44_05_020#0,"""いや、このまえ無償で依頼をしちゃって<br>すごい申し訳ない気持ちになったんだ。"""
Npc44_06_010#0,"""アークスっつっても、慈善事業じゃ<br>ないんだよな。依頼するときには<br>きちんと報酬用意しないとなぁ。"""
Npc44_06_020#0,"""いや、このまえ無償で依頼をしちゃって<br>すごい申し訳ない気持ちになったんだ。"""
Npc44_07_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_07_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_08_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_08_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb9_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb9_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb10_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb10_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb11_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb11_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb12_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb12_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb13_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb13_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb14_010#0,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb14_020#0,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
st01_010#0,"""やあ。<br>大変そうだね。"""
st01_020#0,"""忙しいときこそ、心にゆとりを。<br>ここで一息ついていくといいよ。"""
