Title#0,"""Жители Централ-Сити"""
Summary#0,"""Признание Аины вдохновило <%me> с Манон на продолжение борьбы.<br>Бурудар знакомит троицу с жителями Централ-Сити, которым есть чему научить."""
Objective311#0,"""Поговорить с ARKS, на которого указывает маркер"""
Objective321#0,"""Подойти к координатроу класса"""
Objective331#0,"""Выбрать подкласс"""
Objective341#0,"""Взять заказ на доп-задачу Суроны"""
Objective342#0,"""Взять заказ на доп-задачу Карутевье"""
Objective343#0,"""Взять заказ на доп-задачу Ран"""
Objective351#0,"""Выполнить доп-задачу Суроны"""
Objective352#0,"""Выполнить доп-задачу Карутевье"""
Objective353#0,"""Выполнить доп-задачу Ран"""
text110#0,"""サイドタスク“収集：テイムズ肉”を受注する"""
text120#0,"""サイドタスク“収集：テイムズ肉”を達成する"""
