Title#0,"""Совет Орандже"""
Summary#0,"""Теперь оператор Орандже расскажет вам<br>о продуктовом прилаке.<br>Прежде чем вы сможете приготовить<br>быструю еду, вам понадобится мясо<br>теймзов, которые живут в районе<br>Централ-Сити."""
text0101#0,"""Поговорить с Орандже"""
text0102#0,"""Добыть мясо теймзов"""
text0103#0,"""Добыть мясо шакиритта из Диана"""
text0104#0,"""Добыть мясо маттарина из Сани"""
text0105#0,"""Добыть мясо саппарина из Патта"""
text0106#0,"""Добыть мясо гатцурина из Мобера"""
text0107#0,"""Приготовить быструю еду в прилавке"""
Objective311#0,"""※※※※※"""
Objective321#0,"""※※※※※"""
Objective331#0,"""※※※※※"""
Objective341#0,"""※※※※※"""
