msc_023160_5010#0,"""핫!! 이얍, 받아라."""
msc_023160_5020#0,"""훗!"""
msc_023160_5030#0,"""윽!"""
msc_023160_5040#0,"""크윽!"""
msc_023160_5050#0,"""하앗!"""
msc_023160_5060#0,"""이얍!"""
msc_023160_0010#0,"""음성: 아이나 부대의 모브 아크스④"""
msc_023160_0020#0,"""이렇게 커다란걸… 어떻게…."""
msc_023160_0030#0,"""…무리야, 분명 무리야…."""
msc_023160_0040#0,"""괜찮아."""
msc_023160_0050#0,"""무슨 소리를 하고 계십니까!"""
msc_023160_0060#0,"""대체 무얼…?"""
msc_023160_0070#0,"""아이나 교관!?"""
msc_023160_0080#0,"""걱정하지 마."""
msc_023160_0090#0,"""…분명, 알아차릴 거야!"""
msc_023160_0100#0,"""믿고 있어!"""
msc_023160_5110#0,"""하앗!"""
msc_023160_5120#0,"""이얍!"""
