msc_024010_0010#0,"""앗!"""
msc_024010_0020#0,"""마논!<br><%me>!"""
msc_024010_0030#0,"""오랜만이야."""
msc_024010_0040#0,"""완전히 건강해졌네."""
msc_024010_0050#0,"""아이나야 말로."""
msc_024010_0060#0,"""잠깐 못봤을 뿐인데,<br>또 한 단계 성장한 것 같네."""
msc_024010_0070#0,"""둘 다 대단하네."""
msc_024010_0080#0,"""둘 다 열심히 했으니까."""
msc_024010_0090#0,"""너 만큼은…."""
msc_024010_0100#0,"""너 만큼까진…."""
msc_024010_0110#0,"""네가 있었으니까…."""
msc_024010_0120#0,"""네가 있어 주었으니까…."""
msc_024010_0130#0,"""후훗."""
msc_024010_0140#0,"""후후후훗."""
msc_024010_0150#0,"""…신기하네."""
msc_024010_0160#0,"""각자 다른 곳에 있었는데도,<br>언제나 함께 있었던 것 같은 느낌이 들어."""
msc_024010_0170#0,"""이렇게 셋이 함께 있는 것이<br>당연한 것 같아."""
msc_024010_0180#0,"""응."""
msc_024010_0190#0,"""떨어져 있어도 마음은 하나."""
msc_024010_0200#0,"""언제나 팀 그대로."""
msc_024010_0210#0,"""떨어져 있어도 마음은 하나…."""
msc_024010_0220#0,"""응, 그렇지."""
msc_024010_0230#0,"""언제나 팀 그대로…."""
msc_024010_0240#0,"""응, 분명 그래."""
msc_024010_0250#0,"""앞으로 어떤 일이 있더라도,<br>우리들의 관계는 언제까지나 변하지 않을 거야."""
msc_024010_0260#0,"""나는,<br>그렇게 믿어."""
msc_024010_0270#0,"""나도."""
