msc_023110_0010#0,"""<%me>(너)구나."""
msc_023110_0020#0,"""오늘은 아이나는 없는 것 같네?"""
msc_023110_0030#0,"""아이나에게 무슨 일이라도?"""
msc_023110_0040#0,"""아이나가 왔었어?"""
msc_023110_0050#0,"""요즈음에 매일 오고 있었어."""
msc_023110_0060#0,"""그래.<br>요즘엔, 매일같이."""
msc_023110_0070#0,"""「리더의 비결을 가르쳐 줘」…라고."""
msc_023110_0080#0,"""갑자기 찾아오더니,<br>그런 말을 하니, 나도 깜짝 놀랐어."""
msc_023110_0090#0,"""하지만… 리더의 비결이라고 한들."""
msc_023110_0100#0,"""이끄는 자로서의 마음가짐은 대부분<br>하디에게 배운 것이다."""
msc_023110_0110#0,"""그래서 하디를 불렀더니,<br>거세게 질문을 퍼붓고 있었어."""
msc_023110_0120#0,"""하디는 평소에도 가르치는 것을 즐기는 성격이라,<br>의욕 넘치는 아이나에게 잘 해준 것 같았어."""
msc_023110_0130#0,"""둘이서 꽤 오랜 시간 동안<br>이야기를 나누었어."""
msc_023110_0140#0,"""어디론가 나가서 지형을 활용한 병법 등을<br>배운다던가 했던 모양이야."""
msc_023110_0150#0,"""아이나의 저런 의욕적인 모습은,<br>마음에 든다."""
msc_023110_0160#0,"""그런 일이 있었구나."""
msc_023110_0170#0,"""열심히 하고 있구나."""
msc_023110_0180#0,"""그런 말을 하는걸 보니<br>아무 것도 듣지 못한 모양이군."""
msc_023110_0190#0,"""그래.<br>하지만 조금 조급해 보이기도 했어."""
msc_023110_0200#0,"""여기뿐만이 아니라,<br>여러 사람들에게 의견을 구하고 있었던 모양이야."""
msc_023110_0210#0,"""에아리오의 사람들뿐만이 아닌,<br>타이바스나 그렌에게도 갔다고 해."""
msc_023110_0220#0,"""그렌이 자신의 의견을<br>가볍게 남에게 말할 것 같지도 않지만…"""
msc_023110_0230#0,"""정말 의외로,<br>친절하게 가르쳐 주었다고 해."""
msc_023110_0240#0,"""저걸 보면 의외로<br>평소에도 잘 돌보는 게 아닐까."""
msc_023110_0250#0,"""아니면,<br>아이나의 행실이 그렇게 만든건가."""
msc_023110_0260#0,"""…그래서,<br>아이나는 리더를 목표로 하고 있나?"""
msc_023110_0270#0,"""지금은 아직 훈련생의 교관."""
msc_023110_0280#0,"""아이나에게 달렸어."""
msc_023110_0290#0,"""\""지금은\""이라고 하는걸 봐선,<br>너도 언젠가는 이라는 생각을 하고 있는 건가?"""
msc_023110_0300#0,"""후후후….<br>그건 그렇지."""
msc_023110_0310#0,"""아이나의 더 큰 성장,<br>나도 기대하고 있어."""
