name_7664#0,"""ホーニャン"""
ssn_011171_0010#0,"""フフフ、いい心がけね。"""
ssn_011171_0020#0,"""……って、あなたクラスがテクターじゃないわよ？"""
ssn_011171_0030#0,"""戦い方を教わりたいなら、“クラスカウンター”で、<br>クラスをテクターに変更してきてちょうだい。"""
ssn_011171_0040#0,"""あと、ちゃんとテクターの<br>“クラススキル”も覚えておくようにね。"""
ssn_011171_0050#0,"""でもまあ、先に説明だけはしておくわ。"""
ssn_011171_0060#0,"""テクターは味方の補助に秀でたクラスなの。"""
ssn_011171_0070#0,"""クラススキルも、<br>味方の攻撃力や防御力を上げたりするものが多いわね。"""
ssn_011171_0080#0,"""戦いながら補助を行うことで、<br>仲間に大きく貢献できるクラスって言えるわ。"""
ssn_011171_0090#0,"""そうね……初心者はまず、<br>“シフタ・デバンド”を上手く使えるようになるといいわね。"""
ssn_011171_0100#0,"""訓練の課題を出すわ。やってみてちょうだい。"""
