name_7211#0,"""เซียนดี้"""
ssn_019200_002_0010#0,"""ขอบคุณที่มาพบฉันนะ ขอแนะนำตัวอีกครั้งก็แล้วกัน"""
ssn_019200_002_0020#0,"""ฉันชื่อเซียนดี้ ตอนนี้ฉันกำลังวิจัยปรากฏการณ์ประหลาดต่างๆ ที่เกิดขึ้นทั่วทั้งฮาลฟาน่ะ"""
ssn_019200_002_0030#0,"""ที่ฉันเรียกคุณมาก็เพื่อขอความช่วยเหลือเกี่ยวกับการสืบสวนใน Retem"""
ssn_019200_002_0011#0,"""ขอบคุณที่มาพบฉันนะ"""
ssn_019200_002_0021#0,"""ที่ฉันเรียกคุณมาก็เพื่อขอความช่วยเหลือเกี่ยวกับการสืบสวนใน Retem"""
ssn_019200_002_0040#0,"""ช่วงนี้เราสังเกตเห็นว่าแนวโน้มจำนวนศัตรูในภูมิภาค Retem อาจเพิ่มสูงขึ้น"""
ssn_019200_002_0050#0,"""ฉันอยากจะขอให้คุณต่อสู้กับศัตรูใน Retem แล้วส่งข้อมูลการต่อสู้ที่รวบรวมมาให้ฉันหน่อย"""
ssn_019200_002_0060#0,"""ที่น่าสนใจเป็นพิเศษคือพฤติกรรมของศัตรูที่มีสัญลักษณ์ ซึ่งพบได้ในช่วงเวลานี้ของปี"""
ssn_019200_002_0070#0,"""คุณพอจะช่วยฉันเรื่องนี้ได้ไหม?"""
ssn_019200_002_0080#0,"""ขอบคุณล่วงหน้ามากเลยนะ"""
ssn_019200_002_0120#0,"""ยินดีต้อนรับกลับมา ขอบคุณมากนะที่ช่วยงานสืบสวนของฉัน"""
ssn_019200_002_0130#0,"""หลังจากดูข้อมูลแล้ว ฉันยังไม่พบหลักฐานที่แน่ชัดว่าจำนวนศัตรูเพิ่มขึ้นหรือลดลงเลย"""
ssn_019200_002_0140#0,"""แต่ก็อาจจะต้องมีการวิจัยเพิ่มเติมเกี่ยวกับการกระจายตัวของศัตรูพวกนั้นนะ"""
ssn_019200_002_0150#0,"""ตัวอย่างเช่น ถ้าพวกศัตรูไปรวมตัวกันในพื้นที่ใดพื้นที่หนึ่งมากกว่าปกติ มันอาจนำไปสู่สถานการณ์อันตรายได้ถ้าปล่อยไว้"""
ssn_019200_002_0160#0,"""นอกจากนี้ สถานที่รวมตัวของ Rappy ก็อาจกระจายตัวไม่สม่ำเสมอด้วยเช่นกัน"""
ssn_019200_002_0170#0,"""ฉันอยากจะนำเรื่องนั้นมาเป็นปัจจัยในการสืบสวนด้วยเหมือนกัน"""
ssn_019200_002_0180#0,"""แต่ก็นะ พวก Rappy มันคาดเดาไม่ได้นี่สิ เลยมีความเป็นไปได้ที่จะทำให้สับสนได้..."""
ssn_019200_002_0190#0,"""ขอบคุณมากเลยนะสำหรับความช่วยเหลือของคุณ"""
ssn_019200_002_0200#0,"""ถ้ามีอะไรใหม่เกิดขึ้น หวังว่าจะได้พึ่งพาคุณอีกนะ"""
ssn_019200_002_0300#0,"""ถึงตอนนี้ก็ยังคงมีความลึกลับอีกมากมายเกี่ยวกับศัตรูทั่วทั้งฮาลฟา"""
ssn_019200_002_0310#0,"""ฉันพยายามจะไขปริศนาพวกมันทีละอย่างน่ะ"""
npc_menu_0010#0,"""แลกเปลี่ยนแต้ม Seasonal (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนแต้ม Seasonal คริสต์มาส '23 (จนถึง $(0))"""
npc_menu_0030#0,"""รีไซเคิลไอเทม (จนถึง $(0))"""
npc_menu_0040#0,"""ถามเกี่ยวกับกิจกรรม Seasonal"""
npc_menu_0050#0,"""ปิดเมนู"""
npc_menu_0060#0,"""รีไซเคิลไอเทม"""
npc_menu_1010#0,"""เกี่ยวกับกิจกรรม Seasonal"""
npc_menu_1020#0,"""เกี่ยวกับศัตรู Seasonal"""
npc_menu_1030#0,"""เกี่ยวกับ Mischief Symbol"""
npc_menu_1040#0,"""เกี่ยวกับ Region Mag ประจำฤดูกาล"""
npc_menu_1050#0,"""เกี่ยวกับการรวมตัวของ Rappy"""
npc_menu_2000#0,"""ช่างเถอะ"""
