name_7007#0,"""Liu Lin."""
msn_011063_006_0010#0,"""¿Cómo te fue? ¿Aprendiste una habilidad? No... elegiste la habilidad equivocada, ¿verdad?"""
msn_011063_006_0020#0,"""Bueno, yo digo \""aprender\"", pero más exactamente, el conocimiento simplemente se transcribe en tu memoria."""
msn_011063_006_0030#0,"""Seguirás necesitando practicar para poder<br>utilizar tus habilidades con eficacia.<br>Asegúrate de utilizarlas para que se conviertan en algo natural."""
msn_011063_006_0040#0,"""Asegúrate de utilizarlas hasta que se conviertan en algo natural"""
msn_011063_006_0050#0,"""Además, he transferido algunos objetos a tu inventario.<br>Algunas armas y un pase de objetos relacionados con las habilidades de clase."""
msn_011063_006_0055#0,"""それから、あなたのアイテムパックに物資を送っておきました。"""
msn_011063_006_0060#0,"""Algunas clases y armas combinan bien con ciertas personas, y combinan mal con otras.<br>Por favor, elige según tu propio estilo"""
msn_011063_006_0070#0,"""Por ultimo... Los instructores de cada clase se pueden encontrar en el lado sur de la ciudad."""
msn_011063_006_0080#0,"""Ellos pueden enseñarte mucho más que yo, así que por favor consulta con ellos."""
msn_011063_006_0090#0,"""Uff... Normalmente, no hablo tanto. Estoy bastante cansada."""
msn_011063_006_0100#0,"""Lo he explicado todo lo suficientemente bien... ¿verdad?"""
msn_011063_006_0110#0,"""Eso será todo de mi parte, entonces. Espero volver a trabajar con usted."""
msn_011063_006_0401#0,"""Obtenido Prim Sword, Prim Knuckle, Prim Rifle, Prim Machine Gun, Prim Rod, Prim Wand, N-All Skill Tree Reset."""
msn_011063_006_0501#0,"""Obtenido Prim Sword, Prim Knuckle, Prim Rifle, Prim Machine Gun, Prim Rod, Prim Wand."""
