msc_011170_0010#0,"""...Yo... Yo sólo..."""
msc_011170_0030#0,"""Todo el mundo experimenta miedo durante el combate. No es algo por lo que debas sentirte mal."""
msc_011170_0040#0,"""....."""
msc_011170_0050#0,"""Sin embargo, todos debemos superar ese miedo, o no podremos seguir luchando."""
msc_011170_0060#0,"""Aina, intenta cerrar los ojos."""
msc_011170_0070#0,"""Lo que sea que estés viendo en este momento, esa es tu razón para luchar."""
msc_011170_0080#0,"""Bien. ¿Está bien?"""
msc_011170_0090#0,"""Ustedes tres regresen a Ciudad Central, y den un informe a Crawford."""
msc_011170_0100#0,"""¿Qué vas a hacer?"""
msc_011170_0110#0,"""Me dirijo a la próxima ofensiva de los DOLLS."""
msc_011170_0120#0,"""...Entiendo."""
msc_011170_0130#0,"""Tengo buenas esperanzas para ustedes tres."""
