Begin#0,"""/ci2 1 マールー開始"""
Success#0,"""/mn1 /ci2 2 マールー成功"""
Failure#0,"""/mn1 /ci2 2 マールー失敗"""
Dead#0,"""/mn1 /ci2 2 マールー自分死亡"""
BuddyDead#0,"""/mn1 /ci2 2 マールー相手死亡"""
Evolution#0,"""/mn1 /ci2 2 マールー発展"""
Begin#1,"""/mn13 /ci3 1 ……그건 이쪽이 할 말.<br>케이크 가게를 찾고 있었을 뿐인데<br>정말……귀찮아."""
Success#1,"""/ci1 1 ……그런건 내 마음.<br>나는 처음부터 케이크 가게를 찾고 있었어.<br>……그럼."""
Failure#1,"""/ci1 2 ……다음엔 좀 더, 제대로 할 거야."""
Dead#1,"""/ci4 1 ……정말, 무리야.<br>케이크, 먹고 싶었는데……"""
BuddyDead#1,"""/ci3 1 ……자업자득이네.<br>하지만, 분명 나도 미숙했으니까."""
Evolution#1,"""/mn22 /ci1 1 ……동감.<br>생각보다 귀찮게 되기 시작했네."""
Begin#2,"""/ci1 1 ……당신에겐 참견일지도 몰라.<br>하지만, 우리도, 힘이 되고 싶은 걸."""
Success#2,"""/ci1 2 ……앞에서 무엇이 기다리고 있는지는<br>아무것도 몰라, 하지만 잊지는 말아줘.<br>당신은 혼자가 아니야."""
Failure#2,"""……죄송합니다……<br>또다시 폐를 끼쳐 버렸어요……"""
Dead#2,"""……또, 폐를 끼쳐 버렸어."""
BuddyDead#2,"""……오저!"""
