name010#0,"""มาน่อน (Manon)"""
name020#0,"""นาเดเรห์ (Nadereh)"""
name030#0,"""ไอน่า (Aina)"""
text010#0,"""การต่อสู้ยืดเยื้อไม่เป็นผลดีกับเราแน่ พวก ARKS ที่สู้รบอยู่ข้างนอกคงจะต้านทานไว้ได้ไม่ตลอดหรอก"""
text020#0,"""มันตั้งใจทำแบบนี้สินะ... ความอึดของมันน่าชื่นชมจริงๆ"""
text030#0,"""ถ้าเราทำอะไรสักอย่างกับบาเรียนั่นได้ล่ะก็!"""
text040#0,"""บาเรียถูกสร้างขึ้นมาจากหางของมัน โจมตีตอนที่ฉันทำให้มันเคลื่อนไหวช้าลงซะ!"""
text050#0,"""ฉันจะลองดู!"""
text010_b#0,"""นาเดเรห์ (Nadereh)! นั่นมันอะไรกัน...?!"""
text020_b#0,"""บาเรีย... มันปกป้องทั่วทั้งร่างของมันเลย"""
text030_b#0,"""เราควรทำยังไงดี...?"""
