Title#0,"""당신이 자아낸 미래"""
Explanation#0,"""당신이 없는 세상을 바라지 않는다.<br>그것이 올바른 역사라고 하더라도<br>그것이 바꿀 수 없는 미래라 하더라도<br>당신이 없는 미래는, 인정할 수 없다.<br>――――――――――――――――――――<br>オートドール機能の対象外<br>スケープドール・ハーフドールの使用不可"""
StoryExplanation#0,"""당신이 없는 세상을 바라지 않는다.<br>그것이 올바른 역사라고 하더라도<br>그것이 바꿀 수 없는 미래라 하더라도<br>당신이 없는 미래는, 인정할 수 없다."""
SimpleExplanation#0,"""【원초의 어둠】을 격파하라!"""
Area0S#0,"""？？？？"""
Area0L#0,"""？？？？"""
Area1S#0,"""시공의 틈새 최심층"""
Area1L#0,"""시공의 틈새 최심층"""
NpcComMsg1#0,"""전송 장치 메시지1 신수＋이족 테스트 퀘스트"""
NpcComMsg2#0,"""전송 장치 메시지2 신수＋이족 테스트 퀘스트"""
NpcComMsg3#0,"""전송 장치 메시지3 신수＋이족 테스트 퀘스트"""
NpcComMsg1#1,"""이것은…<br>…모두의 마음이 느껴져."""
NpcComMsg2#1,"""살아 있는 모든 것…<br>아뇨, 지금까지 살아온 것…<br>그 모든 소원이 여기에 모이고 있어요."""
NpcComMsg3#1,"""그것은 어둠을 몰아내는 빛…<br>…거대한 빛이 되고 있어."""
NpcComMsg1#2,"""더 이상 할 말은 없습니다.<br>지금은 마지막까지<br>함께 싸울 수 있는 것에 그저 감사할뿐."""
NpcComMsg2#2,"""나도 당신이<br>세상에서 사라지는 건 싫어.<br>그러니까 꼭 돌아가자, 함께!"""
NpcComMsg3#2,"""그 누구도 희생하게 두지 않아.<br>다 함께 새로운 미래로…!"""
