Title#0,"""당신이 가져온 희망"""
Explanation#0,"""유구한 싸움에 종지부를 찍기 위해<br>아크스의 총력을 결집해 최종 결전을 치른다.<br>온 우주의 운명은 이 일전에 달려 있다.<br>모든 아크스의 건투를 빈다.<br>――――――――――――――――――――<br>오토 돌 기능 대상 외<br>스케이프 돌・하프 돌 사용 불가"""
StoryExplanation#0,"""유구한 싸움에 종지부를 찍기 위해<br>아크스의 총력을 결집해 최종 결전을 치른다.<br>온 우주의 운명은 이 일전에 달려 있다.<br>모든 아크스의 건투를 빈다."""
SimpleExplanation#0,"""시바를 쓰러뜨려라!"""
Area0S#0,"""마더 쉽・시바 내부"""
Area0L#0,"""마더 쉽・시바 내부 에어리어 1"""
Area1S#0,"""마더 쉽・시바 내부"""
Area1L#0,"""마더 쉽・시바 내부 에어리어 2"""
Area2S#0,"""마더 쉽・시바 중추 부근"""
Area2L#0,"""마더 쉽・시바 중추 부근"""
Area3L#0,"""마더 쉽・시바 중추"""
Area3S#0,"""마더 쉽・시바 중추"""
Area4L#0,"""마더 쉽・시바 중추"""
Area4S#0,"""마더 쉽・시바 중추"""
