Title#0,"""Ranger: Entrenamiento Básico"""
Summary#0,"""Sharkey,  instructor de ARKS,<br>te enseña a luchar como Ranger.<br><br><yellow>※Habilidades de clase recomendadas:<br>Weak Bullet<c>"""
Objective311#0,"""Establecer la clase principal como Ranger"""
text0101#0,"""Establecer la clase principal como Ranger"""
Objective321#0,"""Ve a Mt. Magnus"""
text0102#0,"""Ve a South Aerio como Ranger"""
text0103#0,"""Usa Weak Bullet"""
Objective322#0,"""Usa Weak Bullet"""
Objective323#0,"""Derrota enemigos en Mt. Magnus como Ranger"""
text0104#0,"""Derrota enemigos en South Aerio como Ranger"""
Objective331#0,"""Reportar a Sharkey"""
