name_7007#0,"""류린"""
msn_011063_006_0010#0,"""어떤가요? 잘 배우셨나요?<br>다른 스킬… 기억나거나 그러진 않겠죠?"""
msn_011063_006_0020#0,"""클래스 스킬은 습득했다고 하더라도<br>사용법을 기억의 일부로 베낀 것에 지나지 않습니다."""
msn_011063_006_0030#0,"""잘 다루기까지 많은 수련이 필요합니다.<br>조금씩 몸에 익숙해지게 적응해 나가세요."""
msn_011063_006_0040#0,"""조금씩 몸에 익숙해지게 적응해 나가세요."""
msn_011063_006_0050#0,"""그리고 당신의 아이템 팩에 물자를 보내두었습니다.<br>무기라던가 클래스 스킬에 관련된 패스라던가."""
msn_011063_006_0055#0,"""그리고 당신의 아이템 팩에 물자를 보내두었습니다."""
msn_011063_006_0060#0,"""클래스도, 무기도, 사람에 따라서<br>맞는 것이, 맞지 않는 것이 있다고 생각합니다.<br>자신만의 스타일을 찾아나가세요."""
msn_011063_006_0070#0,"""이 다음은… 시티 남쪽에 있는 광장에<br>각 클래스의 교관이 있습니다."""
msn_011063_006_0080#0,"""저보다 더 자세하게<br>여러 가지 가르쳐 주실 거라고 생각되니<br>상의해 보세요."""
msn_011063_006_0090#0,"""후… 평소에 말을 그렇게 많이 하지 않아서 그런지<br>좀 피곤해졌네요."""
msn_011063_006_0100#0,"""제대로 설명해 드렸… 겠죠?"""
msn_011063_006_0110#0,"""제 설명은 여기까집니다.<br>앞으로 잘 부탁드립니다."""
msn_011063_006_0401#0,"""프림 소드, 프림 너클, 프림 라이플, 프림 머신건, 프림 로드, 프림 완드, 프림 카타나, N-모든 스킬 트리 초기화를 얻었습니다."""
msn_011063_006_0501#0,"""프림 소드, 프림 너클, 프림 라이플, 프림 머신건, 프림 로드, 프림 완드, 프림 카타나를 얻었습니다."""
