msc_011350_0010#0,"""알려줬다시피 레졸의 숲에서…."""
msc_011350_0020#0,"""대형 돌즈의 반응이 있었어."""
msc_011350_0030#0,"""이는 과거의 기록으로 보아 \""넥스 에아리오\""가 출현한 것으로 추정 돼."""
msc_011350_0040#0,"""그래. 그 넥스 에아리오야."""
msc_011350_5010#0,"""\""넥스 에아리오\""라고? 설마 그 놈이…….\""넥스 에아리오\""라니?"""
msc_011350_0050#0,"""넥스 에아리오가 마지막으로 출현한 건<br>약 10년전…"""
msc_011350_0060#0,"""에아리오 지역 전체에 큰 피해가 발생한 <br>그 때 이후 처음이야."""
msc_011350_0070#0,"""……."""
msc_011350_0080#0,"""방금 전 이 레졸의 숲으로 정찰 나갔던<br>브루더 부대와 연락이 두절됐어."""
msc_011350_5020#0,"""뭐?! 브루더 씨가!?"""
msc_011350_0100#0,"""거기다 넥스 에아리오의 출현과 동시에<br>각지에서 돌즈의 출현이 잇따르고 있어."""
msc_011350_0110#0,"""이들을 토벌하기 위해서 싸울 수 있는 아크스를<br>분산해야만 하는 상황이야."""
msc_011350_0120#0,"""특히 레졸의 숲 탐색은<br>위험한 임무가 될 거야."""
msc_011350_0130#0,"""그래서 우선은 지원자를 모집하고 싶어."""
msc_011350_0140#0,"""우리가 갈게."""
msc_011350_0150#0,"""너희에겐 연전이 될텐데,<br>괜찮겠어?"""
msc_011350_0160#0,"""응."""
msc_011350_0170#0,"""……셋이서라면, 그치?"""
msc_011350_0180#0,"""그렇구나. 고마워."""
msc_011350_0190#0,"""넥스 에아리오는 강적이야.<br>단독 교전은 피하고 브루더 부대의 수색을 부탁해."""
msc_011350_0200#0,"""알았어."""
msc_011350_0210#0,"""그 밖에 지원하는 사람은…?"""
msc_011350_0220#0,"""다들 고마워.<br>너희만 믿을게."""
