msc_010140_0010#0,"""기다리게 했구나.<br>조촐하지만 잔치를 준비했어."""
msc_010140_0020#0,"""\""별을 건너는 자\""는 따뜻하게 맞이하라.<br>그게 우리 할파인의 풍습이다."""
msc_010140_0030#0,"""따라와 줘."""
msc_010142_0040#0,"""모두는 아니지만<br>에아리오 타운의 주민들이 모였어."""
msc_010142_0050#0,"""네 몫이야."""
msc_010142_0060#0,"""다들 준비는 됐겠지."""
msc_010142_0070#0,"""자기 소개를…"""
msc_010142_0080#0,"""새로운 \""동료\""를 위하여 건배!"""
msc_010142_0090#0,"""건배!"""
msc_010142_0092#0,"""건배!"""
msc_010142_0094#0,"""건배!"""
msc_010144_0100#0,"""경치 좋지?"""
msc_010144_0110#0,"""난 여기가 맘에 들어.<br>…이 녀석들의 웃는 얼굴을 지켜주고 싶어."""
msc_010144_0120#0,"""………."""
msc_010144_0130#0,"""\""아크스\"""""
msc_010144_0140#0,"""돌즈와 싸우는 전사의 호칭이다."""
msc_010144_0150#0,"""나나 마논도 아크스의 일원이다.<br>옆에 있는 아이나는 \""수습\"" …이지만."""
msc_010144_0160#0,"""넌 내가 오기 전까지<br>페다스 소드와 호각으로 싸웠다고 하던데."""
msc_010144_0170#0,"""바로 투입할 수 있는 전투원은 대환영이다."""
msc_010144_0180#0,"""나는 너도<br>아크스가 되었으면 해."""
msc_010144_0190#0,"""후훗. 뭐 지금 당장 해달라는 말은 아냐.<br>이곳 생활에 익숙해지면 한번 생각해 주게."""
msc_010144_0200#0,"""…자 그럼 오늘은 여기까지 할까."""
msc_010144_0210#0,"""…응?"""
msc_010144_5010#0,"""으아악! 뭐야? 무슨 일이야? 저건 뭐야?"""
msc_010144_0214#0,"""다친 덴 없어?"""
msc_010144_0215#0,"""고마워, 마논."""
msc_010144_0220#0,"""아빠…"""
msc_010144_0230#0,"""큰일이군…<br>낮의 그 놈은 정찰이었나."""
msc_010144_0235#0,"""아빠!"""
msc_010144_0250#0,"""돌즈의 습격이다."""
msc_010144_0260#0,"""전원 요격 준비! 서둘러!"""
msc_010144_5020#0,"""간다!"""
msc_010144_5030#0,"""오우! 좋아, 준비 끝. 가 볼까."""
