name_7008#0,"""롯사"""
msn_011065_002_0010#0,"""좋아, 잘했어.<br>무기를 강화했구나."""
msn_011065_002_0020#0,"""일단, 그 무기는 네거야.<br>소중히 여겨줘."""
msn_011065_002_0025#0,"""꽤 구하기 어렵기도 하니<br>발견한다면 소중히 보관해두도록 해."""
msn_011065_002_0030#0,"""그리고, 같은 방식으로 방어구도 강화할 수 있으니<br>시험해 봐."""
msn_011065_002_0040#0,"""일단, 그 무기는 네 거야.<br>소중히 여겨줘."""
msn_011065_002_0050#0,"""아, 그리고 지금 감정한 스페셜 웨폰.<br>그거 네가 써줘. 분명 도움 될거야."""
msn_011065_002_0060#0,"""또……, 그라인더는<br>각지에 놓인 컨테이너 안에 들어있기도 해."""
msn_011065_002_0070#0,"""누가 두고 갔는지도 지금 와선 모르지만,<br>소중히 써 줘."""
msn_011065_002_0080#0,"""갑자기, 이것저것 말해도,<br>다 기억하진 못할테고…그치!"""
msn_011065_002_0090#0,"""뭐, 계속 싸우다보면<br>점점 익숙해질 거야."""
msn_011065_002_0100#0,"""모르는 게 있으면<br>우리들이 얘기했던 걸 떠올려 봐."""
msn_011065_002_0110#0,"""그럼 이걸로 내 설명은 끝!<br>앞으로 잘 부탁한다!"""
msn_011065_002_0120#0,"""……응?"""
msn_011065_002_0130#0,"""……어이쿠, 크로퍼드가 부르나 본데.<br>지령실까지 와 줄래? 기다릴게."""
