name_7199#0,"""구이덴"""
msn_005013_0001#0,"""음. 순조롭게 힘을 기르고 있는 것 같군."""
msn_005013_0002#0,"""하지만 아직도 배워야 할 것이 많이 남아 있네.<br>계속해서 모두에게 이야기를 걸어보면 좋을 걸세."""
msn_005013_0101#0,"""모두에게 힘이 되어준 것 같군."""
msn_005013_0102#0,"""이제 각 클래스에 대해서 배워도 되겠지."""
msn_005013_0103#0,"""여러 클래스를 자유자재로 조종할 수 있게 되면<br>강력한 돌즈를 상대해도 우위에서 싸울 수 있다네."""
msn_005013_0104#0,"""센트럴 시티에는 각 클래스 교관이 있다네.<br>모두에게 힘이 되어 달라고 전해뒀네."""
msn_005013_0105#0,"""센트럴 시티 남동쪽에 있으니<br>각 클래스에 대해 잘 배워두게."""
msn_005013_0201#0,"""꽤 힘을 기른 것 같군."""
msn_005013_0202#0,"""그 행동거지… 척 보면 알 수 있지.<br>제대로 된 아크스 일원이라고 해도 좋을 수준일세."""
msn_005013_0203#0,"""그리고… 모르는 것이 있다면<br>지금까지 배운 것들을 떠올려 보면 좋을 걸세."""
msn_005013_0204#0,"""앞으로의 활약을 기대하고 있겠네."""
