msc_010130_0010#0,"""그쪽 의자에 앉아."""
msc_010130_0020#0,"""그럼 다시 한번…"""
msc_010130_0030#0,"""나는 가로아.<br>이 마을의 리더를 맡고 있다."""
msc_010130_0040#0,"""얘는 아이나. 내 딸이야."""
msc_010130_0050#0,"""잘 부탁해."""
msc_010130_0060#0,"""그리고, 그 옆이 마논."""
msc_010130_0070#0,"""…잘 부탁해."""
msc_010130_0080#0,"""자 그럼…우선<br>\""여기\""가 어디인지부터 이야기할까."""
msc_010130_0090#0,"""우린 이 행성을 \""할파\""라고 부르고 있네."""
msc_010130_0100#0,"""여긴 그 안에 있는 \""에아리오 타운\"""""
msc_010130_0110#0,"""그렇다곤 해도 작은 곳이지만 말야."""
msc_010130_0120#0,"""여기 북쪽에는 할파에서 가장 큰 도시<br>\""센트럴 시티\""가 있어."""
msc_010130_0130#0,"""센트럴 시티는 행정과 경제의 중심지다.<br>언젠간 너도 찾아갈 날이 올 거야."""
msc_010130_0131#0,"""아까 그 적은?"""
msc_010130_0132#0,"""\""별을 건너는 자\""？"""
msc_010130_0133#0,"""딱히 궁금한건 없다"""
msc_010130_0140#0,"""…그 다음은…"""
msc_010130_0150#0,"""이 \""돌즈\""다."""
msc_010130_0160#0,"""네가 아까 싸운 것은 이 소형.<br>\""페다스 소드\""란 녀석이다."""
msc_010130_0170#0,"""우리 할파인은 이 돌즈와<br>굉장히 오랫동안 싸우고 있어."""
msc_010130_0180#0,"""얼마나 오래 됐냐면…"""
msc_010130_0190#0,"""500년은 더 지났다고 전해지고 있지."""
msc_010130_0200#0,"""그래."""
msc_010130_0210#0,"""…하지만 돌즈에 대한 건<br>우리도 잘 몰라."""
msc_010130_0220#0,"""왜 우리를 공격하는지, 어디서 오는지조차.<br>…아무것도."""
msc_010130_0240#0,"""단 하나 확실한 건…<br>이 돌즈가 우리의 \""적\""이란 사실."""
msc_010130_0250#0,"""뭐 수수께끼 투성이인건<br>너희 \""별을 건너는 자\""도 마찬가지지."""
msc_010130_0260#0,"""\""별을 건너는 자\""란 건 아까 너처럼<br>강하 포드를 타고 우주에서 오는 녀석들의 호칭이다."""
msc_010130_0270#0,"""여기 있는 마논도<br>\""별을 건너는 자\""중 한 명이지."""
msc_010130_0280#0,"""마논은 반년 정도 전에 저 작은 섬에 떨어져<br>지금은 이 집에 살고 있어."""
msc_010130_0290#0,"""\""별을 건너는 자\""도… 돌즈와 마찬가지로<br>어디서, 무슨 목적으로 오는 것인지 모르는 상태다."""
msc_010130_0300#0,"""\""별을 건너는 자\""는 어째선지<br>내려오기 전의 기억이 없는 것 같은데."""
msc_010130_0310#0,"""너도 그렇지?"""
msc_010130_0320#0,"""뭐 가끔씩<br>마논 같은 예외도 있는 것 같지만."""
msc_010130_0330#0,"""…뭐 그렇지. 다른 \""별을 건너는 자\""보다<br>조금 더 \""단편적인 지식\""이 있을 뿐이야."""
msc_010130_0340#0,"""마논은 엄청 똑똑하다?<br>기계도 되게 잘 알고 내 공부도 봐주고 있어."""
msc_010130_0350#0,"""돌즈와 \""별을 건너는 자\""가<br>같은 장소에서 오는게 아닐까 생각하는 사람들도 있다."""
msc_010130_0360#0,"""설령 그렇다 한들<br>너희 \""별을 건너는 자\""는 우리 동료야."""
msc_010130_0370#0,"""\""별을 건너는 자\""는 오랜 세월, 우릴 도와 주었다.<br>그것만은 틀림없어."""
msc_010130_0380#0,"""뭐 첫 강의는<br>여기까지 해둘까."""
msc_010130_0390#0,"""방금 말한 내용들을<br>네 마그에 보내 두지."""
msc_010130_0400#0,"""마그란 건 네 옆에<br>떠 다니는 그걸 말하는 거다."""
msc_010130_0410#0,"""그 마그는 우리가 쓰는 타입보다 기능이 좋아.<br>그 녀석을 가지고 있는 것도 \""별을 건너는 자\""의 특징이지."""
msc_010130_0420#0,"""…자세한 이야기는 나중에 하자."""
msc_010130_0430#0,"""혹시 배고프나?"""
msc_010130_0440#0,"""배고파."""
msc_010130_0450#0,"""딱히."""
msc_010130_0460#0,"""좋아. 식사 준비를 해 볼까.<br>준비될 때까지 동네라도 둘러보고 와."""
msc_010130_0470#0,"""그럼 마실 것만이라도 준비하지."""
msc_010130_0480#0,"""오랜만의 손님이니, 환영하게 해줘."""
msc_010130_0490#0,"""준비가 될 때까지<br>마을 안을 돌아보고 오면 된다."""
