un_064060_0010#0,"""안녕하세요, 마스터！<br>「하얀 뭉게구름」 루코트예요."""
un_064060_0020#0,"""하, 「하얀 뭉게구름」……？<br>그게 뭐예요！？"""
un_064060_0030#0,"""후훗……<br>쿄 씨의 이명을 흉내 내 봤어요.<br>어떤가요, 마스터？"""
un_064060_0040#0,"""멋진 이명이네"""
un_064060_0050#0,"""어떠냐고 해도……"""
un_064060_0060#0,"""칭찬해 주셔서 영광이에요！<br>부끄럽네요！"""
un_064060_0070#0,"""어머, 마음에 안 드셨나요？<br>조금 아쉽네요……"""
un_064060_0080#0,"""이명은 스스로 말하려면<br>정말 큰 용기가 필요하군요……<br>쿄 씨는 정말 대단해요！"""
un_064060_0090#0,"""그래요. 이명이라면<br>어릴 때 쿄가 갑자기<br>자칭하기 시작했죠！"""
un_064060_0100#0,"""「오늘부터 날 “유성의 샛별”이라 불러라」<br>……라면서요！"""
un_064060_0110#0,"""너무 갑작스러워서 놀랐어요.<br>한 번도 그렇게 부르진 않았지만요！"""
un_064060_0120#0,"""그립네요.<br>그때는 제 몸에<br>급성 포톤 증가증이 생기기 직전이었어요."""
un_064060_0130#0,"""맞아요！<br>놀랐다고 하면 루코가 캐스트가<br>됐을 때도 놀랐어요！"""
un_064060_0140#0,"""갑자기 학교를 오래 쉬더니<br>느닷없이 캐스트가 되어 돌아왔잖아요！<br>키도 커지고 바로 졸업까지 하고요！"""
un_064060_0150#0,"""맞아요. 보통 캐스트가 될지는<br>태어난 직후 적성에 따라 정해지기에<br>후천성 급성 포톤 증가증은 드물어서……"""
un_064060_0160#0,"""특이한 경우였지만 허가를 받아<br>유년 학교에 다니던 중에<br>캐스트가 되었어요."""
un_064060_0170#0,"""그 결과 유년 학교에 다니던 제가<br>갑자기 지금과 같은<br>캐스트의 몸이 되었기에……"""
un_064060_0180#0,"""처음에는 스트라토스와 쿄 씨가<br>무서워하거나 싫어할지도 모른다고<br>걱정했어요……"""
un_064060_0190#0,"""싫어할 리가 없어요！<br>어떤 모습이어도 루코는 루코고<br>소중한 친구라는 건 변하지 않아요！"""
un_064060_0200#0,"""후훗. 스트라토스는 예전부터<br>늘 그렇게 말해 줬죠."""
un_064060_0210#0,"""하지만 그때……<br>캐스트가 된 뒤 제 본래 마음을<br>잃을 뻔했어요……"""
un_064060_0220#0,"""저는 남을 대접하는 일을 좋아해서……<br>전투를 위해 마음을 죽일 수 없어<br>움직임이 멈췄던 그때도……"""
un_064060_0230#0,"""스트라토스와 쿄 씨가<br>「마음을 죽일 필요 없어, 네 모습 그대로」라고<br>격려해 줘서 다시 일어설 수 있었어요."""
un_064060_0240#0,"""그때 스트라토스가 준<br>꽃 장식은 지금도 소중히<br>늘 몸에 지니고 있어요."""
un_064060_0250#0,"""그립네요.<br>루코트가 기운을 되찾기를<br>바라며 만들었어요."""
un_064060_0260#0,"""어라……？<br>그때 쿄도 뭔가<br>선물하지 않았던가요……？"""
un_064060_0270#0,"""네！<br>그때 쿄 씨가 준 게<br>제 「이명」이었어요."""
un_064060_0280#0,"""아아, 저도 생각났어요！<br>루코, 이명을 선물받고<br>넋이 나갔었죠！"""
un_064060_0290#0,"""그때 받은 이명은<br>「흘러가는 흰 구름」이었어요."""
un_064060_0300#0,"""그래요, 좋은 이름이 떠오르지 않는다며<br>쿄가 분해했었죠！<br>아, 그럼 루코의 「하얀 뭉게구름」은……？"""
un_064060_0310#0,"""후훗……<br>쿄 씨와 제가<br>함께 만든 이름이에요."""
un_064060_0320#0,"""좋겠다. 왠지 저도<br>이명이 갖고 싶어졌어요……<br>그러면 셋이서……"""
un_064060_0330#0,"""그렇다면 하나 주지……<br>지금부터 넌 “푸른 섬광” 스트라토스다.<br>……그렇게 자칭해라."""
un_064060_0340#0,"""「푸른 섬광」……！<br>역시 쿄예요！"""
un_064060_0350#0,"""정말 멋져요！<br>늠름해서 스트라토스에게<br>아주 잘 어울려요！"""
un_064060_0360#0,"""그, 그럼<br>쑥스럽지만 바로……"""
un_064060_0370#0,"""「푸른 섬광」 스트라토스！"""
un_064060_0380#0,"""「하얀 뭉게구름」 루코트！"""
un_064060_0390#0,"""이, 이건……<br>너무 부끄러워서 안 되겠어요！<br>역시 없던 일로 해요！"""
un_064060_0400#0,"""그런가요……？<br>멋있다고 생각했는데<br>조금 아쉽네요……"""
