un_063020_0001#0,"""A.P.242/3/13"""
un_063020_0010#0,"""……아직 쓰레기가 남아 있었네요."""
un_063020_0020#0,"""……얏！"""
un_063020_0030#0,"""……수호휘사님이시군요."""
un_063020_0040#0,"""원래 메이드가 해야 할<br>청소를 도와주시게 하다니<br>정말 죄송하지만……"""
un_063020_0050#0,"""그 대신……<br>제가 정성껏 모시겠습니다.<br>이게 바로 저의……"""
un_063020_0060#0,"""……대접이랍니다！"""
un_063020_0070#0,"""그럼……<br>청소를 시작할까요？"""
un_063020_0080#0,"""이걸로…… 끝이랍니다！"""
un_063020_0090#0,"""……감사드려요.<br>말려들게 해서 정말 죄송……<br>어머……！？"""
un_063020_0100#0,"""큰일이에요！ 빗자루가 산산조각 났어요！<br>또 이러고 말았네요！"""
un_063020_0110#0,"""아아, 또 마리아 씨에게<br>힘 조절을 하라고 혼나겠어요……<br>아니, 풀이 죽을 때가 아니에요！"""
un_063020_0120#0,"""인사가 늦었네요……<br>저는 루코트라고 합니다."""
un_063020_0130#0,"""만나 뵙게 되어 영광이에요.<br>수호휘사님！"""
un_063020_0140#0,"""제가 여기 있던 이유인가요？<br>이번에 새 클래스 「에트왈」이<br>허가를 받게 돼서요……"""
un_063020_0150#0,"""그래서 처음 제안한 사람으로서<br>실전에서 전술을 확인하고 있었답니다."""
un_063020_0160#0,"""에트왈이 궁금하신가요？<br>수호휘사님께서 관심을 가져 주시니<br>영광이에요."""
un_063020_0170#0,"""그럼 조심스럽지만<br>제가 설명해 드릴게요."""
un_063020_0180#0,"""에트왈은 보신 것처럼<br>타격에 능한 근접 클래스예요."""
un_063020_0190#0,"""그 특징은 전체 전력을 끌어올리는 것.<br>동료의 클래스에 맞는 강화 효과를<br>부여해 모두를 돕는답니다."""
un_063020_0200#0,"""그리고 모두가 강해지면<br>에트왈 자신도 더 강해지는……<br>그런 클래스예요."""
un_063020_0210#0,"""……하지만 제가 너무 미숙해서<br>수호휘사님의 도움까지<br>받고 말았네요…… 죄송해요."""
un_063020_0220#0,"""폐를…… 끼쳤죠.<br>수호휘사님……？"""
un_063020_0230#0,"""다친 데는 없어？"""
un_063020_0240#0,"""도울 필요도 없었네"""
un_063020_0250#0,"""네！ 덕분에 무사하답니다！<br>메이드인 저까지 걱정해 주시다니<br>강하기만 한 게 아니라 다정하시군요."""
un_063020_0260#0,"""그렇지 않아요！<br>제가 제 힘을 너무 믿었어요.<br>진심으로 감사드려요."""
un_063020_0270#0,"""역시 수호휘사님이에요.<br>그 강함과 다정함……<br>감동이에요！ 존경스러워요！"""
un_063020_0280#0,"""메이드가 모시기에<br>이상적인 주인님…… 마스터라고<br>확신했답니다！"""
un_063020_0290#0,"""저는 지금 모시는 마스터가 없어서……<br>앞으로 수호휘사님을 마스터로<br>모시겠습니다！"""
un_063020_0300#0,"""아직 미숙한 메이드지만……<br>잘 부탁드려요, 마스터！"""
