un_064090_0001#0,"""A.P.242/3/20/11:00"""
un_064090_0010#0,"""으윽, 훌쩍……"""
un_064090_0020#0,"""진정됐어요, 루코？"""
un_064090_0030#0,"""……그럼 말해라.<br>5년 전 그날…… 무슨 일이 있었지？"""
un_064090_0040#0,"""임무 중 저는 시가지 외곽에서<br>어느 오래된 저택을 발견했어요.<br>사람 없이 버려진 멋진 저택이었죠."""
un_064090_0050#0,"""저는 그 저택으로<br>스트라토스와 쿄 씨를 초대해<br>정성껏 대접하려고 했어요."""
un_064090_0060#0,"""그래서 두 사람에게 초대장을 썼어요.<br>「도시 외곽 저택으로 와 주세요」라고……<br>이유는 쓰지 않고 깜짝 놀라게 해 주려고요."""
un_064090_0070#0,"""그리고 초대했던 그날……<br>깜짝 준비를 들키지 않으려고<br>저택 뒷문으로 들어갔어요."""
un_064090_0080#0,"""그런데 어째서인지……<br>저택 안에 수많은 포획 함정이<br>설치돼 있었어요！"""
un_064090_0090#0,"""저항할 틈도 없이<br>기습당해 정신을 잃었고……<br>누군가에게 끌려갔어요."""
un_064090_0100#0,"""그래서 그 뒤<br>저택에서 무슨 일이 일어났는지는 몰라요.<br>제가 눈을 뜬 곳은……"""
un_064090_0110#0,"""당시에는 아직 공식적으로 알려지지 않은<br>행성 워팔의 해저에 있던<br>허공기관 실험 시설이었어요."""
un_064090_0120#0,"""저는 그곳에서 끝도 없이……<br>허공기관이 다커 인자 증식 실험을 위해<br>만든 개조 생물들과 싸워야 했고……"""
un_064090_0130#0,"""허공기관……이라고！？<br>하지만 그곳은 3년 전에 해체됐을 텐데.<br>그 뒤 넌……？"""
un_064090_0140#0,"""전투 자료 수집을 위해 완전히 자동화된<br>실험 시설은 허공기관 해체 뒤에도 가동됐어요.<br>구조되기 직전까지 저는 계속 싸웠고……"""
un_064090_0150#0,"""그러다 육망균형의 마리아 님이<br>워팔을 탐색하던 중 실험 시설을 발견해<br>저를 구조해 주셨어요."""
un_064090_0160#0,"""하지만…… 제가 계속 싸운 상대는<br>다커 인자 증식 실험용 개조 생물들이었어요."""
un_064090_0170#0,"""발견됐을 때 제 몸에는<br>이미 엄청난 양의 다커 인자가<br>쌓여 있었다고 해요."""
un_064090_0180#0,"""그, 그런……！"""
un_064090_0190#0,"""마리아 님 말씀으로는<br>다커가 되기 직전이었고<br>조금만 늦었어도 살지 못했을 거라고……"""
un_064090_0200#0,"""큭…… 왜지！<br>왜 네가 그런 일을……！"""
un_064090_0210#0,"""……메이드 일을 하던 중 어떤 소식통에게서<br>허공기관이 벌이는 잔혹한 실험 소문을 듣고<br>혼자 조사하고 있었기…… 때문이에요."""
un_064090_0220#0,"""그 사실을 어느 순간 허공기관이 눈치채고……<br>방해물로 여겨 표적으로 삼은 거군."""
un_064090_0230#0,"""스트라토스와 쿄 씨를<br>저택에 가두고 불을 지른 것도<br>증거를 없애려던 허공기관의 짓이겠죠……"""
un_064090_0240#0,"""저뿐만 아니라 두 사람까지<br>위험에 빠뜨렸다니……"""
un_064090_0250#0,"""정말……<br>미안해요……"""
un_064090_0260#0,"""그럴 수가！<br>잘못한 건 전부 허공기관이에요！<br>루코는 아무 잘못도 없어요！"""
un_064090_0270#0,"""그럼 마리아에게 구조된 뒤에도<br>연락하지 않은 이유는 뭐지？<br>지금까지 무엇을 하고 있었나？"""
un_064090_0280#0,"""구조 당시 제 다커 침식도는<br>절망적이라 아크스가 알면 처분할 수도 있다고……<br>마리아 님은 생각하셨어요."""
un_064090_0290#0,"""하지만 살아날 가능성이 조금은 있어……<br>그 가능성에 걸어 보기로 했어요.<br>마스터라면 눈치채셨겠죠？"""
un_064090_0300#0,"""냉동수면……？"""
un_064090_0310#0,"""쉬고 있었어……？"""
un_064090_0320#0,"""맞아요……<br>마스터도 이용한 적이 있는<br>냉동수면이에요."""
un_064090_0330#0,"""아, 아니에요！<br>마스터도 이용한 적이 있는<br>냉동수면이에요."""
un_064090_0340#0,"""……다커 인자를 없애기 위해<br>당시 개발 중이던 냉동수면을<br>아무도 모르게 쓰겠다고 해 주셨어요."""
un_064090_0350#0,"""쳇……<br>그래서 구조된 뒤에도 생사를 숨기고<br>어둠 속에서 회복을 기다렸다는 건가……？"""
un_064090_0360#0,"""네.<br>냉동수면은 문제없이 작동했고……<br>3년에 걸쳐 정화에 성공했어요."""
un_064090_0370#0,"""깨어난 뒤에는<br>다시 두 사람을 만날 날을 기다리며<br>재활을 계속했지만……"""
un_064090_0380#0,"""갑자기…… 무서워졌어요."""
un_064090_0390#0,"""……무섭다고？ 무엇이？"""
un_064090_0400#0,"""다커에게 침식된 저를……<br>두 사람이 받아들이지 않을까 봐요."""
un_064090_0410#0,"""하지만 그건 제가 겁이 많았을 뿐이에요……<br>스트라토스는 늘 「루코는 루코」라고<br>말해 줬으니까요."""
un_064090_0420#0,"""이상으로 제 이야기는 끝이에요.<br>두 사람은 이런 저를……<br>용서해 줄 건가요？"""
un_064090_0430#0,"""당연하죠！<br>루코는 아무 잘못도 없잖아요！<br>쿄도 할 말 없죠？"""
un_064090_0440#0,"""그래……<br>넌 마음 깊은 곳에 잠든<br>「두려움」을 이겨 냈다."""
un_064090_0450#0,"""그리고 우리를 믿고……<br>직접 거짓 없이 모두 설명했다.<br>……그렇다면 내가 할 말은 없다."""
un_064090_0460#0,"""고마워요……"""
un_064090_0470#0,"""다시 한번……<br>돌아온 걸 환영해, 루코！"""
un_064090_0480#0,"""……저 돌아왔어요！<br>스트라토스！ 쿄 씨！"""
un_064090_0490#0,"""자, 쿄도 사과해요！<br>루코에게 심한 말을<br>잔뜩 했잖아요！"""
un_064090_0500#0,"""흥……<br>너희가 화해할 수 있도록<br>「대접」해 줬을 뿐이다."""
un_064090_0510#0,"""어머, 그게<br>「대접」이었나요！？<br>정말 훌륭해요！"""
un_064090_0520#0,"""……뭐？"""
un_064090_0530#0,"""상대의 마음을 헤아려<br>가장 기뻐할 방법을<br>생각하는 것."""
un_064090_0540#0,"""상대의 마음을 헤아려<br>슬픔을 덜어 줄 방법을<br>생각하는 것."""
un_064090_0550#0,"""그 「대접」의 마음을<br>이해하고 실천하는 사람이야말로……<br>「메이드」예요."""
un_064090_0560#0,"""이제 쿄 씨도 어엿한……<br>「메이드」예요！"""
un_064090_0570#0,"""……넌 바보다."""
un_064090_0580#0,"""맞아요, 루코.<br>쿄는 남자니까<br>「남자 메이드」예요！"""
un_064090_0590#0,"""너도 바보다！"""
un_064090_0600#0,"""앗, 잠깐, 쿄！<br>바보라고 하는 사람이 바보예요！"""
un_064090_0610#0,"""자, 자……<br>다음에는 셋이 메이드 옷을 입고<br>대접을 실천해 봐요！"""
un_064090_0620#0,"""싫다！"""
un_064090_0630#0,"""싫어요！"""
un_064090_0640#0,"""후훗…… 마스터.<br>저희를 도와주셔서<br>고마워요."""
un_064090_0650#0,"""덕분에 다시 돌아갈 수 있을 것 같아요.<br>그 시절의 우리로……！"""
