un_064070_0001#0,"""A.P.242/3/18"""
un_064070_0010#0,"""……쳇.<br>그 바보들이……"""
un_064070_0020#0,"""아, 너였군……"""
un_064070_0030#0,"""흥, 스트라토스와 루코트 일 때문에<br>또 참견하러 온 거겠지？"""
un_064070_0040#0,"""……너도 그 한심한 꼴을 봤겠지.<br>스트라토스는 남에게 너무 무르고……<br>루코트는 그 다정함에 기대고 있다."""
un_064070_0050#0,"""말하기 싫다면 말하지 않아도 된다고？<br>친구니까 상처 준 이유도 묻지 않겠다고？<br>정말 웃기는군."""
un_064070_0060#0,"""루코트가 입을 다무는 이유는 짐작이 간다.<br>말했다가는 어떤 이유로 자신이나 우리가<br>상처 입을까 두렵기 때문이지."""
un_064070_0070#0,"""그리고 스트라토스도<br>이유를 캐물으면 루코트가<br>상처 입을까 두려워하고 있다……"""
un_064070_0080#0,"""구제할 길 없는 바보들이다.<br>평생 겉도는 관계로 지낼 셈인가？<br>웃기지 마……！"""
un_064070_0090#0,"""하지만 어떻게 해야 하지……？<br>내가 할 수 있는 일이 있나？<br>모르겠군…… 정말 모르겠어."""
un_064070_0100#0,"""쿄쿠야다운 방식으로"""
un_064070_0110#0,"""《망령》이라면 어떻게 할까？"""
un_064070_0120#0,"""나다운…… 방식？<br>나만이 할 수 있는 일……"""
un_064070_0130#0,"""크크크…… 생각났다.<br>그렇군, 이 방법이 있었나……<br>본때를 보여 주지."""
un_064070_0140#0,"""《망령》이라면…… 이라고？<br>크크크, 간단한 일이다……"""
un_064070_0150#0,"""……그렇군.<br>내가 《망령》이기에<br>할 수 있는 일이 있다……"""
un_064070_0160#0,"""……그래, 나는 《망령》.<br>목적을 위해서라면 수단을 가리지 않는다."""
un_064070_0170#0,"""크크크…… 그 녀석들이<br>서로 상처 주는 게 두렵다면<br>그 역할은 내가 맡아 주지！"""
un_064070_0180#0,"""이 “검은 늑대”의 방식을<br>너와 그 바보들에게……<br>똑똑히 새겨 주마！"""
un_064070_0190#0,"""……고맙다.<br>크크크……<br>그럼 이만."""
