un_065240_0010#0,"""어머, 마스터.<br>안녕하세요."""
un_065240_0020#0,"""……있죠, 마스터.<br>저는 줄곧 생각했어요.<br>대접을 완전히 익히고 싶다고……"""
un_065240_0030#0,"""대접할 기회는 단 한 번뿐……<br>그렇게 생각하고 늘 후회가 남지 않도록<br>온 마음을 다해 대접하는 것."""
un_065240_0050#0,"""그것이야말로<br>대접의 참뜻이라고 생각해 에트왈의<br>전투 방식에 살리고 싶었어요."""
un_065240_0070#0,"""하지만 제 개인적인 생각으로는……<br>대접할 때 소중히 여기고 싶은 건<br>능력 향상만이 아니에요."""
un_065240_0080#0,"""동료가 처음 보는 분일지도 몰라요.<br>다시는 만나지 못할지도 몰라요.<br>그렇기에 만남을 소중히 하고 싶어요."""
un_065240_0090#0,"""대접으로 동료에게 힘과 용기를 주고<br>은은한 빛을 비추며 따뜻하게 지켜보는<br>「별」 같은 존재가 되고 싶어요……"""
un_065240_0100#0,"""클래스 이름 「에트왈」은<br>그 「별」을 뜻하는 말에서<br>가져왔어요."""
un_065240_0110#0,"""히어로는 수많은 적을 상대로 전장을 누비고<br>팬텀은 까다로운 상대를 변칙적인 수단으로<br>확실히 쓰러뜨려요."""
un_065240_0120#0,"""그리고 에트왈은……<br>대접으로 동료와 함께 싸우는 행복을<br>최대한 살릴 수 있어요."""
un_065240_0130#0,"""지옥에서 홀로 끝없이 싸우는 악몽은……<br>이제 보고 싶지 않으니까요."""
un_065240_0140#0,"""루코트……？"""
un_065240_0150#0,"""앞으로는 모두 함께야"""
un_065240_0160#0,"""앗…… 미안해요！<br>이러면 안 되는데, 마음을 놓으면 금세……<br>아무것도 아니에요！"""
un_065240_0170#0,"""……맞아요.<br>스트라토스와 쿄 씨……<br>마스터도 곁에 있으니까요！"""
un_065240_0180#0,"""게다가 에트왈은<br>대접하고 싶은 마음을 형태로 만들 때<br>마리아 님의 조언을 받은 클래스예요……"""
un_065240_0190#0,"""말하자면 둘이 함께 만든 거예요.<br>제가 풀이 죽으면 마리아 님도<br>슬퍼하실 테니까요！"""
un_065240_0200#0,"""좋아, 해내고 말겠어요！<br>앞으로도 메이드로서<br>그리고 에트왈의 제창자로서……"""
un_065240_0210#0,"""더욱 마음을 담아 대접할게요.<br>앞으로도 잘 부탁드려요, 마스터！"""
