un_063090_0010#0,"""새 클래스 「에트왈」을<br>잘 부탁드려요오！"""
un_063090_0020#0,"""자, 잘 부탁드립니다……"""
un_063090_0030#0,"""어머, 마스터！<br>안녕하세요."""
un_063090_0040#0,"""와앗……！？<br><%me> 씨！？"""
un_063090_0050#0,"""사실 스트라토스가<br>새 클래스는 홍보 활동으로 알리는 게<br>효과적이라고 해서……"""
un_063090_0060#0,"""도와주겠다고 하기에 이렇게<br>둘이서 새 클래스 「에트왈」을<br>홍보하고 있어요."""
un_063090_0070#0,"""저기, 스트라토스……？<br>말을 안 하면 홍보가 안 돼요."""
un_063090_0080#0,"""으으……"""
un_063090_0090#0,"""아, 안녕하세요……<br><%me> 씨……"""
un_063090_0100#0,"""저, 저기！ 죄송하지만<br>그렇게 바라보지 말아 주시면……<br>부, 부끄러워서요……"""
un_063090_0110#0,"""아, 네！<br>이런 옷을 입은 이유 말이죠！"""
un_063090_0120#0,"""에트왈을 홍보하려면<br>옷도 맞춰 입어야 한다고 루코가……<br>으으, 결국 이 옷을 입게 됐어요."""
un_063090_0130#0,"""장식도 하늘하늘하고<br>치마도 평소보다<br>훨씬 풍성해서……"""
un_063090_0140#0,"""역시 저한테는<br>이런 옷이 안 어울리는 것 같아요.<br>그렇게 생각하니 부끄러워서……"""
un_063090_0150#0,"""전혀 그렇지 않아요.<br>정말 귀여워요.<br>그렇죠, 마스터？"""
un_063090_0160#0,"""응, 귀여워"""
un_063090_0170#0,"""평소 옷이 좋아"""
un_063090_0180#0,"""네엣！？<br>귀, 귀엽다니……<br>옷 말씀이시죠！？"""
un_063090_0190#0,"""으으……<br>역시 부끄러워서 안 되겠어요！<br>가, 갈아입고 올게요！"""
un_063090_0200#0,"""여, 역시 그렇죠！<br>저도 그렇게 생각해요！"""
un_063090_0210#0,"""그러니까 루코！<br>저, 갈아입고 올게요……！"""
un_063090_0220#0,"""어머……<br>옷을 맞춰 입어서 기뻤는데<br>조금 아쉽네요."""
un_063090_0230#0,"""……어쩔 수 없네요.<br>대신 이 옷을 입고 홍보 활동을<br>도와주실 분을……"""
un_063090_0240#0,"""……있죠, 마스터.<br>도와주실 거죠？<br>옷도 준비해 뒀어요！"""
