un_063030_0001#0,"""A.P.242/3/14"""
un_063030_0010#0,"""아, <%me> 씨.<br>안녕하세요！"""
un_063030_0020#0,"""<%me> 씨는<br>새 클래스 「에트왈」을<br>알고 계세요？"""
un_063030_0030#0,"""제가 제안한 히어로와<br>쿄가 제안한 팬텀에 이은<br>새 클래스라고 해요."""
un_063030_0040#0,"""흥, “에트왈”……인가.<br>“별”을 뜻하는 말이지."""
un_063030_0050#0,"""별처럼 빛나는 존재……인가？<br>에트왈을 처음 제안한 자는<br>상당히 자신만만한 모양이군."""
un_063030_0060#0,"""어떤 분일까요.<br>같은 새 클래스 제안자로서<br>이야기해 보고 싶지만……"""
un_063030_0070#0,"""기척을 느낄 때마다 금세 달아나는군.<br>이 몸에게 꼬리를 잡히지 않다니<br>상당한 실력자인 모양이다."""
un_063030_0080#0,"""훗…… 아니면 일부러<br>우리를 피하는 걸지도 모르지."""
un_063030_0090#0,"""그럴 리가요, 만난 적도 없는데……<br><%me> 씨는<br>제안자를 알고 계세요？"""
un_063030_0100#0,"""루코트 말이야？"""
un_063030_0110#0,"""그러고 보니 전에 만났어"""
un_063030_0120#0,"""호오…… 만난 적이 있나.<br>이름은 뭐라고 하지？"""
un_063030_0130#0,"""네！？ 혹시……<br>「루코트」라고 하나요！？"""
un_063030_0140#0,"""그, 그럴 수가……<br>루코트…… 아니, 루코는……<br>우리 소꿉친구예요！"""
un_063030_0150#0,"""말도 안 돼……！<br>그 녀석은 이미 오래전에 죽었어！<br>다른 사람일 게 분명하다！"""
un_063030_0160#0,"""분명 무슨 사정이 있었을 거예요！<br><%me> 씨……<br>루코트를 만나게 해 주시겠어요？"""
un_063030_0170#0,"""시시하군……<br>따라갈 생각은 없다."""
un_063030_0180#0,"""쿄……"""
un_063030_0190#0,"""쿄는 저렇게 말하지만<br>저는 루코가 아직 살아 있다고……<br>믿어요."""
un_063030_0200#0,"""<%me> 씨.<br>루코트를 만나게 해 주세요……<br>부탁드릴게요."""
