un_063060_0010#0,"""¡Gran trabajo, <%me>! Sé que estamos afuera todo el tiempo, pero debemos mantenernos firmes."""
un_063060_0020#0,"""¡Bienvenido, amo! Has estado trabajando duro de nuevo... ¡Justo lo que uno podría esperar de un Guardián!"""
un_063060_0025#0,"""Me alegro de verte a salvo también, Azanami... ¿Pasa algo?"""
un_063060_0030#0,"""Hey Lucotte. ¿Está bien si te pregunto algo?"""
un_063060_0040#0,"""¡Por supuesto!"""
un_063060_0050#0,"""¿Tienes algo que te moleste?, ¿Por qué no intentas sacártelo del pecho?"""
un_063060_0060#0,"""¿Huh? Po-, Porque... Que te hace pensar..."""
un_063060_0070#0,"""Tienes problemas para confiar en los demás, ¿No? Sientes que tienes que mostrarte tranquila y ser a quien la gente acuda en busca de ayuda"""
un_063060_0080#0,"""Diooooo... ¿Qué te ha dado esa impresión?..."""
un_063060_0090#0,"""¿Por qué crees? Estoy exactamente en la misma situación que tú. Así que puedo identificarlo solo por verte."""
un_063060_0100#0,"""Estás convencida de que eres la que debe dar consejos, y no la que los pide..."""
un_063060_0110#0,"""Señorita Azanami..."""
un_063060_0120#0,"""¡Ah!, No no, ¡No estoy intentando llamarte la atención o nada parecido! Es que es muy noble ser alguien con quien la gente pueda apoyarse"""
un_063060_0130#0,"""Pero ya ves... Todos aquí tienen los hombros dispuestos para poder apoyarse entre todos."""
un_063060_0140#0,"""Incluso tú necesitas de personas en las que se pueda confiar, o que te ayuden."""
un_063060_0150#0,"""Así que no hay absolutamente nada malo por preguntarle a los demás sobre lo que sea... ¿No estoy en lo correcto, Guardián?"""
un_063060_0160#0,"""...Muchas gracias. Tus palabras han tocado mi corazón... Muy bien, Te voy a presionar un poco."""
un_063060_0170#0,"""La verdad es, Que no estoy muy segura de poder estar a la altura de las expectativas de todos como representante de una nueva clase."""
un_063060_0180#0,"""Hmhm. Liderar una nueva clase es una gran responsabilidad. Yo también lo tuve un poco difícil."""
un_063060_0190#0,"""Todos esperan que seas realmente fuerte, y que sepas exactamente como hacer todo."""
un_063060_0200#0,"""Y solo eso hace las cosas muy difíciles. Tú no puedes solicitarle a nadie ayuda... Ni siquiera a los otros representantes de clase."""
un_063060_0210#0,"""Tienes que mostrarte confiada mientras escondes todas tus inseguridades."""
un_063060_0220#0,"""Pero, mírame a mí, Es totalmente natural comenzar sin ninguna confianza. La vas a ganar atravez de la experiencia."""
un_063060_0230#0,"""Así que, ¡Lo estás haciendo bien, Lucotte! Tienes mi aprobación personal... ¡Confía en tu falta de confianza!"""
un_063060_0240#0,"""...Espera, ¿Eso no suena extrañamente mal?"""
un_063060_0250#0,"""...Hehe. No del todo, Eso lo hace maravilloso."""
un_063060_0260#0,"""Ahahaa. Creo que no lo pudiera haber dicho mejor entonces, Pero si te ha ayudado a relajarte algo, Me alegra que yo haya podido haber hecho algo."""
un_063060_0270#0,"""Gracias... Estoy verdaderamente agradecida con ustedes dos. Y, bueno..."""
un_063060_0280#0,"""Si no es mucha molestia, ¿Estaría bien si les solicito algo de nuevo?..."""
un_063060_0290#0,"""¡Preguntanos en cualquier momento!"""
un_063060_0300#0,"""¡Azanami Te escuchara!"""
un_063060_0310#0,"""Am@, Azanami... Muchas gracias a ustedes."""
un_063060_0320#0,"""¡Eso es cierto!, ¡Solo déjamelo todo a mí!... ¡¿Espera, que hay sobre ti?!"""
un_063060_0330#0,"""¡Hehe!... Muchas gracias a ustedes dos."""
un_063060_0340#0,"""Mi experiencia aún es muy pobre en comparación a la de ustedes. Aceptaré tu oferta y confiaré en ustedes dos en el futuro."""
un_063060_0350#0,"""Confío en que serán de gran ayuda. ¡Gracias por su amabilidad!"""
