un_064080_0001#0,"""A.P.242/3/20/10:00"""
un_064080_0010#0,"""Stratos... Ha estado actuando bastante inquieta durante algún tiempo. ¿Hay algo más adelante?"""
un_064080_0020#0,"""¡N-nadie está esperando allí ni nada!, ¡Vamos, vamos a hacer esa misión!"""
un_064080_0030#0,"""¡Ha!..."""
un_064080_0040#0,"""¡¿Que?!..."""
un_064080_0050#0,"""...¡¿Kyo?!, ¡Eso fue realmente peligroso!...<br>¿Y si la lastimaras?"""
un_064080_0060#0,"""...Silencio. Te estoy agradecido por atraerla aquí, pero no tengo más uso para ti."""
un_064080_0070#0,"""Qu-, ¿Qué estas diciendo?, ¿No ibas a reconciliarte con Lucotte?"""
un_064080_0080#0,"""Para disculparse por las galletas ... O decirle que estás feliz de que haya regresado ... ¿Algo así?"""
un_064080_0090#0,"""¿Eso fue... Todo una mentira?"""
un_064080_0100#0,"""Heheheh... ¿Has olvidado? Un Phantom utilizará cualquier medio a mano para cumplir su objetivo... No lo olvides."""
un_064080_0110#0,"""Lucotte... Nos lo contarás todo. Todo lo que nos has estado escondiendo."""
un_064080_0120#0,"""...Ah"""
un_064080_0130#0,"""¡Detente, por favor! Lucotte volvió... ¡Eso es suficiente para mí!"""
un_064080_0140#0,"""Te dije que te quedaras en silencio. Ven, Lucotte. Habla... ¡Cuéntanos el motivo de tu traición!"""
un_064080_0150#0,"""...No puedo."""
un_064080_0160#0,"""...Entonces ha llegado a esto."""
un_064080_0170#0,"""No me dejas otra opción... Yo mismo arreglaré las cosas. ¡La puerta de la verdad se abrirá!..."""
un_064080_0180#0,"""¡Ha!"""
un_064080_0190#0,"""¡Gh!..."""
un_064080_0200#0,"""¡Kyo!..."""
un_064080_0210#0,"""¡<%me>!, ¡Tenemos que detenerlo!"""
un_064080_0220#0,"""¡¿Pero por qué?!..."""
un_064080_0230#0,"""¿Así es como hace las cosas?... ¿Quieres que solo mire?"""
un_064080_0240#0,"""¡Pero, pero! ¡Lucotte es!..."""
un_064080_0260#0,"""¡Ha!"""
un_064080_0270#0,"""¡Hah!"""
un_064080_0280#0,"""¡Kh!"""
un_064080_0290#0,"""¡Ugh!"""
un_064080_0300#0,"""¡Gyah!..."""
un_064080_0310#0,"""¡Haaaaah!..."""
un_064080_0320#0,"""Urgh....."""
un_064080_0330#0,"""Yo... ¡Lo siento! ¡Pido disculpas si te he fallado!..."""
un_064080_0340#0,"""Tu humillación es innecesaria. No importa el costo, te arrancaré la verdad yo mismo."""
un_064080_0350#0,"""¡Detente, Kyo!, ¡Nos estás lastimando a todos!"""
un_064080_0360#0,"""Stratos... No vacile ante el dolor. No dude en causar dolor a los demás."""
un_064080_0370#0,"""Ya sea que la verdad te haga daño a ti o a alguien más... ¡Las heridas se desvanecerán y dejarán un vínculo aún más fuerte!"""
un_064080_0380#0,"""Kyo....."""
un_064080_0390#0,"""La razón por la que no hablara... ¿Podrías estar tratando de protegernos de alguna verdad cruel?"""
un_064080_0400#0,"""Tus acciones están equivocadas. No se puede llegar a ningún entendimiento sin una explicación... ¡Ten más fe en ti misma!"""
un_064080_0410#0,"""Kyo... ¡Tienes razón! Luco!, ¡Tienes que creer en nosotros!"""
un_064080_0420#0,"""¡Somos tus amigos!, Si no puesdes hablar con nosotros... ¿Quién puede?"""
un_064080_0430#0,"""Pe pero... ¡No puedo!, ¡No importa qué!..."""
un_064080_0440#0,"""Gh... ¡¿Por qué?!, ¡Dinos el motivo!"""
un_064080_0450#0,"""¡La razón por la que nos encerraste en esa mansión y le prendiste fuego!"""
un_064080_0460#0,"""...¡¿Que?!"""
un_064080_0470#0,"""¡¡Luco!!..."""
un_064080_0480#0,"""¡No!"""
un_064080_0490#0,"""¿Les encerraron... Y le prendieron fuego a la  mansión?..."""
un_064080_0500#0,"""¿Qué?... Fingir ignorancia de sus propias acciones...."""
un_064080_0510#0,"""¡No estoy fingiendo!, ¡¿De qué estás hablando, Kyo?!"""
un_064080_0520#0,"""¡¿Que paso ese dia?!"""
un_064080_0530#0,"""Imposible... Tu de verdad... ¿No sabes?..."""
un_064080_0540#0,"""¡Por supuesto no!, ¡Solo los invité a la mansión para ofrecerles mi hospitalidad!..."""
un_064080_0550#0,"""Luco, ¡Dinos todo! Ese día que nos llamaste... ¿Qué pasó?"""
un_064080_0560#0,"""Pe-pero..."""
un_064080_0570#0,"""¡Por favor!, ¡Puedes confiar en nosotros!"""
un_064080_0580#0,"""No nos echaremos atrás sin importar lo que digas, ¡Siempre creeremos en ti!"""
un_064080_0590#0,"""Maestro... ¿Qué tengo que hacer?..."""
un_064080_0600#0,"""Haz lo que creas que es correcto."""
un_064080_0610#0,"""Cree en ellos..."""
un_064080_0620#0,"""Lo que siento es correcto..."""
un_064080_0630#0,"""Cree en ellos..."""
un_064080_0640#0,"""...Entendido. Les diré todo."""
un_064080_0650#0,"""Lucotte... Está bien, ¡Habla!"""
un_064080_0660#0,"""Dios santo, que molesto..."""
un_064080_0670#0,"""Stratos... Kyo....."""
un_064080_0680#0,"""Por favor no me odien..."""
