un_063040_0001#0,"""A.P.242/3/14"""
un_063040_0010#0,"""으앗！？"""
un_063040_0020#0,"""아아…… 마스터였군요……<br>깜짝 놀랐어요……"""
un_063040_0023#0,"""두 사람과 아는 사이야？"""
un_063040_0025#0,"""루코트가 두 사람의 소꿉친구야？"""
un_063040_0030#0,"""네……<br>스트라토스와 쿄 씨는……<br>제 소꿉친구예요."""
un_063040_0040#0,"""함께 놀고 웃고 울며……<br>예전에는 늘 셋이 함께였어요."""
un_063040_0050#0,"""다투고 나면<br>제가 구운 「화해 쿠키」를<br>함께 먹으며 화해했죠."""
un_063040_0060#0,"""제가 먼저 아크스가 됐을 때도<br>두 사람은 언제나 저를<br>응원해 줬어요."""
un_063040_0070#0,"""하지만……<br>5년 전의 한 사건이 제 운명을<br>크게 바꿔 놓았어요."""
un_063040_0080#0,"""사건에 휘말려 저는 실종됐어요.<br>저택으로 두 사람을 불러 놓고 내버려 둔 채<br>몇 년 동안 연락 한 번 못 하고……"""
un_063040_0090#0,"""스트라토스는 분명……<br>연락도 없이 사라진 저에게<br>배신당했다고 느껴 상처받았을 거예요."""
un_063040_0100#0,"""게다가 저는 그 사건에서<br>두 사람이 저를 미워해도 어쩔 수 없는<br>돌이킬 수 없는 짓을……"""
un_063040_0110#0,"""두 사람을 만나 사과하고 싶어요……<br>하지만 저는…… 무서워요."""
un_063040_0120#0,"""두 사람이 차가운 눈으로 바라볼까 봐.<br>차가운 말을 건넬까 봐.<br>……무서워요."""
un_063040_0130#0,"""마스터.<br>제게…… 용기를 주세요.<br>나약한 마음을 이겨 낼 용기를……！"""
un_063040_0140#0,"""도망치면 앞으로 나아갈 수 없어"""
un_063040_0150#0,"""스트라토스가 만나고 싶어 했어"""
un_063040_0160#0,"""……그렇군요.<br>마스터 말씀이 맞아요.<br>한 걸음씩 앞으로 나아가야죠."""
un_063040_0170#0,"""네…… 정말인가요！？<br>스트라토스도 만나고 싶어 한다면<br>저도…… 용기를 낼 수 있어요！"""
un_063040_0180#0,"""마스터.<br>한 가지 부탁이 있어요."""
