Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/mn22 /toge /ci2 1 아아, 그대 아니십니까!<br>도와주세요!<br>저, 큰 위기랍니다!"""
Success#1,"""/mn15 /ci2 1 덕분에 살았습니다!<br>제 실력으로는 함께해 주시면<br>기쁘겠사와요…… 어라, 사가 씨?"""
Failure#1,"""/ci4 5 시, 실패하고 말았습니다.<br>모처럼 그대께서 도와주셨는데<br>분합니다."""
Dead#1,"""/mn5 아아…… 한계랍니다.<br>먼저 쉬도록 하겠습니다……"""
BuddyDead#1,"""/mn2 자자자, 잠깐, 사가 씨?<br>둘만으로 상대하는 건 무리입니다!<br>어서 일어나 주세요!"""
Begin#2,"""/toge /ci2 2 지금이야말로, 그대를 위해<br>제게 숨겨져 있을 힘을<br>보여드릴 때입니다!"""
Success#2,"""/ci2 1 따라가고 싶은 마음을<br>꾹 참고, 웃으며 보내드리겠습니다!<br>힘내 주세요!"""
Failure#2,"""사가 씨!<br>이제 막 기세가 오르던 참인데!<br>죄송합니다, 귀환하겠습니다……"""
Dead#2,"""으으……<br>제 숨겨진 힘이 깨어나지 않아요……"""
BuddyDead#2,"""/toge 사가 씨, 멋없습니다!<br>촌스럽습니다! 실망했습니다!<br>이번 특훈은 한 번 취소예요!"""
Begin#3,"""/mn6 /ci2 2 어머, 그대 아니십니까!<br>여기서 우연히 만나다니, 운명입니다!<br>아니면 제게 선물을 전하러 오셨나요!?"""
Success#3,"""/mn26 /ci3 3 사가 씨, 어디 가시나요!?<br>저, 그분과 즐겁게 이야기하면서<br>선물을 받아야 하는데요!"""
Failure#3,"""/mn23 /ci4 3 큐우…… 역시 이 이상은……<br>죄송합니다, 선물은 다음 기회에!<br>다시 찾아오겠습니다……"""
Dead#3,"""/mn13 아아, 이제 안 되겠습니다……<br>이대로 그대의 품 안에서<br>스르르 쓰러지고 싶습니다……"""
BuddyDead#3,"""/mn37 사, 사가 씨!<br>자, 잠깐 쉬시면 안 됩니다!<br>제가 당해 버립니다!"""
Begin#4,"""/mn22 /ci1 2 저를 부르는 줄 알고 왔더니<br>전혀 아니지 않습니까!"""
Success#4,"""/ci2 2 정말 헷갈리는 펫 이름이네요……<br>다음에는 착각하지 않을 테니까요!"""
Failure#4,"""/mn13 이름이 비슷해서 일일이 반응해<br>버리는 바람에 더 지쳐 버렸습니다.<br>……먼저 물러나겠습니다."""
Dead#4,"""/mn4 큐우…… 저, 이제 한계랍니다……<br>조금만, 아주 조금만<br>쉬게 해 주세요……"""
BuddyDead#4,"""/mn2 잠깐만요, 피에트로 씨?<br>적은 아직 많이 있답니다!<br>부탁이니 일어나 주세요!"""
