Title#0,"""각오"""
Explanation#0,"""납치된 히츠기를 구하려<br>엔가와 달로 향하는 <%me>.<br>어떤 적이 기다리고 있는지는<br>알 수 없다고 해도.<br>――――――――――――――――――――<br>실패 조건/전투 불능 후 리타이어 선택"""
StoryExplanation#0,"""납치된 히츠기를 구하려<br>엔가와 달로 향하는 <%me>.<br>어떤 적이 기다리고 있는지는<br>알 수 없다고 해도."""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""위성 달"""
Area0S#0,"""방치 시설"""
Area0L#0,"""위성 달\u3000방치 시설"""
Area1S#0,"""방치 시설"""
Area1L#0,"""위성 달\u3000방치 시설"""
Area2S#0,"""방치 시설"""
Area2L#0,"""위성 달\u3000방치 시설"""
Area3S#0,"""방치 시설"""
Area3L#0,"""위성 달\u3000방치 시설"""
Area4S#0,"""숍 에어리어"""
Area4L#0,"""아크스 쉽\u3000숍 에어리어"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
