name_7435#0,"""มามิยะ"""
ssn_014912_0101#0,"""เอาล่ะ เรื่องมีอยู่ว่า..."""
ssn_014912_0102#0,"""เกี่ยวกับสมมติฐานที่กำลังเป็นที่พูดถึงในแวดวงวิทยาศาสตร์น่ะ"""
ssn_014912_0103#0,"""ย้อนกลับไปตอนนั้น นานก่อนที่ Lost Central จะถูกเรียกว่า Central City ซะอีก..."""
ssn_014912_0104#0,"""น่าจะเคยมีอารยธรรมที่ก้าวหน้ามากตั้งอยู่บน Halpha"""
ssn_014912_0105#0,"""อารยธรรมนี้มีเทคโนโลยีในระดับที่น่าทึ่ง... และพวกเขาก็น่าจะเป็นคนสร้าง Trainia ขึ้นมา"""
ssn_014912_0106#0,"""และก็น่าจะมีส่วนในการสร้างสิ่งอื่นๆ ด้วย อย่างเช่น Ryuker Device กับ Updrafter"""
ssn_014912_0107#0,"""รวมถึงพวก Transport Truck กับ Mining Rig ด้วย พวกเราคงจะรับความดีความชอบเรื่องการออกแบบทั้งหมดไม่ได้หรอกนะ"""
ssn_014912_0108#0,"""แต่... วันหนึ่ง อารยธรรมนั้นก็หายไปไม่ว่าจะด้วยเหตุผลอะไรก็ตาม พวกเขาแค่จากไปและทิ้งเทคโนโลยีเอาไว้"""
ssn_014912_0109#0,"""เราค่อนข้างมั่นใจในสมมติฐานนี้นะ เพียงแต่เรายังขาดข้อมูลที่จะนำมาพิสูจน์ให้ชัดเจนเท่านั้นเอง"""
ssn_014912_0110#0,"""ดังนั้น จะช่วยฉันอีกสักครั้งได้ไหม? ฉันต้องการข้อมูลจาก Tower ในภูมิภาคนี้เป็นที่ต่อไปน่ะ ขอบใจอีกครั้งนะ!"""
