name_7435#0,"""Mamiya"""
ssn_014910_0001_001#0,"""Alright, I got the data. Thank ya kindly!"""
ssn_014910_0001_002#0,"""With this, I can continue my investigation. I'll let you know if I come up with anything."""
ssn_014910_0001_010#0,"""Thank ya kindly for that Cocoon data. With this, I can continue my investigation."""
ssn_014910_0001_011#0,"""I'll let you know if I come up with anything."""
ssn_014910_0001#0,"""Hey, just the Meteorn I was looking for!"""
ssn_014910_0002#0,"""So, I've been continuing my analysis, and I managed to learn a lot of new stuff."""
ssn_014910_0003#0,"""I kinda wanna talk about it. Are you free?"""
ssn_014910_0101#0,"""So, we researchers have come up with a certain hypothesis..."""
ssn_014910_0102#0,"""In order to test it, we're gonna need more data. That's where you come in."""
ssn_014910_0201#0,"""Yeah, no problem. I won't force you or anything. Let's talk about it some other time."""
ssn_014910_0301#0,"""Looks like you got the data. Thank ya kindly!"""
ssn_014910_0302#0,"""Oh yeah, this is the good stuff. Haha, this will help us so much."""
ssn_014910_0303#0,"""Alright, time to start studying it. I'll let you know when I've made sense of it all."""
ssn_014910_1001#0,"""Oh, there you are."""
ssn_014910_1002#0,"""I've combed through that data you got me. I want to continue the conversation from before."""
ssn_014910_1101#0,"""Long ago, there was once a certain highly advanced civilization here on Halpha."""
ssn_014910_1102#0,"""That's the theory we're trying to establish, but we need more data. I'll be looking forward to that Tower data."""
ssn_014910_1201#0,"""Yeah, no problem. I won't force you or anything. Let's talk about it some other time."""
ssn_014910_1301#0,"""Thank ya kindly for that Tower data! Haha, this is really such a great help."""
ssn_014910_1302#0,"""With this, we'll be one step closer to the truth."""
ssn_014910_1303#0,"""Again, if I figure anything out, you'll be the first to know."""
ssn_014910_1304#0,"""So look forward to it!"""
ssn_014910_1401#0,"""Thank ya kindly for that Tower data! It'll be such a great help."""
ssn_014910_1402#0,"""Again, when I figure something out, you'll be the first to know."""
ssn_014910_1403#0,"""So look forward to it!"""
