msc_020120_0010#0,"""…미안해…."""
msc_020120_0020#0,"""저기! 들어봐!<br>큰일… 큰일이야…!"""
msc_020120_0030#0,"""무슨 일이야?"""
msc_020120_0040#0,"""진정해."""
msc_020120_0050#0,"""저기… 어."""
msc_020120_0060#0,"""아, 응.<br>미안해."""
msc_020120_0070#0,"""저기.<br>마논이… 사라진 것 같아."""
msc_020120_0080#0,"""마논, 요즘 계속 이상했지."""
msc_020120_0090#0,"""뭔가 고민이라도 있는 것 같아서."""
msc_020120_0100#0,"""내가 물어봐도<br>「괜찮아」라는 말만 되풀이해서 말했어."""
msc_020120_0110#0,"""혹시 마논도 에아리오 타운에 대한걸<br>계속 신경쓰고 있어서…."""
msc_020120_0120#0,"""그러니까 다크 펄스를 쓰러뜨리면<br>마음의 응어리가 풀릴 거라고 생각했어."""
msc_020120_0130#0,"""…하지만 다크 펄스를 쓰러뜨려도<br>마논은 전과 같은 표정을 짓고 있었어."""
msc_020120_0140#0,"""그래서 오늘 제대로 얘기를 해야겠다 싶어서<br>마논의 방에 갔었어."""
msc_020120_0150#0,"""그랬는데 잠금이 열려있었고,<br>마논은 없어서…."""
msc_020120_0160#0,"""책상도, 침대도 아무도 없었던 것 처럼,<br>깨끗하게 정리되어 있었어…."""
msc_020120_0170#0,"""…이 메시지가 남겨져 있었어."""
msc_020120_0180#0,"""「미안해. 지금까지 고마웠어」."""
msc_020120_0190#0,"""…이거 무슨 뜻일까?"""
msc_020120_0200#0,"""몇 번이나 연락을 해도 받지 않아."""
msc_020120_0210#0,"""뭔가… 앞으로도 계속,<br>마논을 만나지 못할 것 같은…."""
msc_020120_0220#0,"""안 좋은 계감이 들어…."""
msc_020120_0230#0,"""분명, 곧 만날 수 있을 거야."""
msc_020120_0240#0,"""아이나…."""
msc_020120_0250#0,"""으, 응….<br>그렇…겠지."""
msc_020120_0260#0,"""응…."""
msc_020120_0270#0,"""나, 찾으러 갈래."""
msc_020120_0280#0,"""우선은 에아리오 안에서 찾아볼래."""
msc_020120_0290#0,"""찾지 못하면<br>리템, 크바리스…."""
msc_020120_0300#0,"""우선 목격자를 찾아보자."""
msc_020120_0310#0,"""누군가에게 상담하는 게 좋아."""
msc_020120_0320#0,"""목격자… 마을 사람들에게?"""
msc_020120_0330#0,"""누군가라니… 누구?"""
msc_020120_0340#0,"""아, 그렇구나.<br>크로포드!"""
msc_020120_0350#0,"""지령실에 가면,<br>뭔가 알 수 있을지도 몰라!"""
