msc_020340_0005#0,"""며칠 후"""
msc_020340_0010#0,"""아빠.<br>우리, 그 다크 펄스를 물리쳤어."""
msc_020340_0020#0,"""…그런데 말야."""
msc_020340_0030#0,"""새로운 적이 나타났어.<br>여기가 조용해지는 건 좀 더 시간이 걸릴 것 같아."""
msc_020340_0040#0,"""미안해."""
msc_020340_0050#0,"""조금만 기다려줘."""
msc_020340_0060#0,"""반드시 모든 것을 끝낼 테니까."""
msc_020340_0070#0,"""가자, 크로포드 일행이 기다리고 있어."""
msc_020340_0080#0,"""…마논?"""
msc_011260_0050#0,"""이 연구소 유적은…."""
msc_011260_0060#0,"""아크스 각 대원에게 알립니다."""
msc_011260_0070#0,"""\""레졸의 숲\"", \""반포드 연구소 유적\""에서,<br>돌즈의 출현을 확인했습니다."""
msc_011260_0080#0,"""인근에 있는 아크스는,<br>경계 태세로 전환해 주세요."""
msc_011260_0090#0,"""여기는 아이나."""
msc_011260_0100#0,"""아이나 씨? 무슨 일이세요?"""
msc_011260_0110#0,"""우리도 움직일 수 있어.<br>뭘 하면 될까?"""
msc_011260_0120#0,"""그럼, 반포드 연구소 유적으로 가주시겠나요?<br>현지 상황 보고를 부탁드립니다."""
msc_011260_0130#0,"""레졸의 숲에는<br>브루더 부대가 가고 있거든요."""
msc_011260_0140#0,"""알았어. 곧 출발할게."""
msc_011260_0150#0,"""연구소 유적…<br>뭐, 지금의 우리에겐 딱 좋겠네."""
msc_011260_0160#0,"""…해당 지역에 다른 아크스가 있는 것 같습니다.<br>그들과 합류해서 대응해 주세요."""
msc_011260_0170#0,"""알았어."""
msc_011260_0180#0,"""나는 이대로 가도 괜찮은데,<br>둘 다 준비됐어?"""
msc_011260_0190#0,"""지금 할게!"""
msc_011260_0200#0,"""너도,<br>준비되면 집합하자."""
