Title#0,"""Viva Las Vegas!"""
Explanation#0,"""This is a limited-time VR training mission whose<br>purpose is to use a festival atmosphere to<br>improve combat efficiency and morale!<br>The more enemies you can defeat within the<br>time limit, the better your rewards will be.<br>Defeat as many enemies as you can in<br>Las Vegas, including Phantoms!<br>――――――――――――――――――――<br>Defeat the enemy in the final area to clear<br>Failure: Time limit expires"""
NpcComMsg1#0,"""This VR training is about<br>to begin! Defeat enemies<br>and earn Quest Points!"""
NpcComMsg2#0,"""If you can defeat all the enemies<br>within the time limit, you will<br>receive bonus time, giving you<br>a chance to defeat even more!"""
NpcComMsg3#0,"""The more Quest Points you<br>earn, the more likely you are to<br>get good rewards. Good luck!"""
SimpleExplanation#0,"""Earn points by defeating enemies!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
