name01#0,"""？？？"""
name02#0,"""？？？"""
un_015100_0010#0,"""Всем спасибо за то, что пришли!<br>Сегодня, я вложу всё своё сердце и душу в эту горячую песню!"""
un_015100_0020#0,"""Это весёлая, сильная и яркая песня! Давайте же все вместе веселиться! [Наш Бой!]"""
un_015100_0030#0,"""Я надеюсь, что каждый из вас сможет самосовершенствоваться! Я рада, что смогла спеть её для вас сегодня!<br>Благодаря вам, АРКС, это стало возможным!"""
un_015100_0040#0,"""Если вы почувствуете себя подавленными или утомлёнными, пожалуйста, вспомните эту песню, и продолжайте бой!<br>Надеюсь, что моя песня придала вам сил!"""
un_015100_0050#0,"""Ещё увидимся!"""
ls_010010_0010#0,"""\""Почему ты здесь?\"", - я спрошу тебя...<br>Твой ответ таков: \""Я здесь, чтоб отыскать свою судьбу."""
ls_010010_0020#0,"""И ни кто мне не сможет помешать.\"""""
ls_010010_0030#0,"""Пусть дыра в груди... расширяется. Пусть болит она... Ничего! За улыбкой скрою боль!"""
ls_010010_0040#0,"""Хоть и понимаю, что это чувство мне... прятать нельзя!"""
ls_010010_0050#0,"""В кромешной тьме идёшь... И веришь, что в ней свой путь найдёшь...<br>Ты отринул всё и оставил позади... Смотришь теперь лишь вперёд!"""
ls_010010_0060#0,"""В небеса крикни: \""Я не сдамся!\""<br>И тогда я услышу твой голос... и приду на помощь! Где бы ни был, путь к тебе отыщу я!"""
ls_010010_0070#0,"""Не страшись и сражайся рьяно! Жизнь свою поставив на кон,<br>Ты светом ярким станешь... И развеешь собою мглу вокруг! Озаришь весь мир!"""
ls_010010_0080#0,"""\""Для чего живёшь?\"", - зазвучал вопрос...<br>Ты сказал в ответ: \""Я живу, чтоб отыскать огонь любви..."""
ls_010010_0090#0,"""И готов я его искать во тьме!\"""""
ls_010010_0100#0,"""Руки, что сейчас... обхватили меч,<br>Обнимали тех, кто дорог сердцу твоему!"""
ls_010010_0110#0,"""И тепло объятий этих ты никогда... Не забывай!"""
ls_010010_0120#0,"""Те слёзы, что ты лил... И  те слова, что мне говорил... Доказали всем, что душа твоя чиста! Следом пойду за тобой!"""
ls_010010_0130#0,"""В темноте мы сияем ярко! Верю я... твои мольбы...<br>Достигнут всех богов небесных! Желанье твоё воплотится в реальность!"""
ls_010010_0140#0,"""В темноте мы свой путь отыщем!<br>Я с тобой! Ты теперь не один!"""
ls_010010_0150#0,"""Не страшен больше мрак нам! Ведь в руках держим мы огонёк души... Он развеет мглу!"""
ls_010010_0160#0,"""В небеса крикни: \""Я не сдамся!\""<br>И тогда я услышу твой голос... и приду на помощь! В ответ прокричу я тебе изо всех сил:"""
ls_010010_0170#0,"""\""Не страшись и сражайся рьяно!\""<br>Жизнь свою поставив на кон,"""
ls_010010_0180#0,"""Ты светом ярким станешь... И развеешь собою мглу вокруг! Озаришь весь мир!"""
ls_010010_1010#0,"""Наш Бой!"""
ls_010010_1020#0,"""Куна (перевёл: Veles)"""
