pr_068010_0010#0,"""아… 악수?<br>으, 응. 그래."""
pr_068010_0020#0,"""응, 또 만나자."""
pr_068010_0030#0,"""아, <%me>!<br>날 보러 와줬구나.<br>기뻐."""
pr_068010_0040#0,"""지금 있던 사람? 아니, 처음 만났어.<br>요즘 악수해 달라는 부탁을 많이 받거든."""
pr_068010_0050#0,"""후후, 남 말 할 때가 아니잖아?<br>수호휘사는 동경의 대상이라잖아…<br>다 네 덕이야."""
pr_068010_0060#0,"""그럼 일단 조용한 데서 점심이라도 먹고 그 다음엔…"""
pr_068010_0070#0,"""저기요…<br>잠깐 얘기 좀 하실래요?"""
pr_068010_0080#0,"""실례합니다.<br>이야기 하시는 걸 좀 들어서요."""
pr_068010_0090#0,"""혹시 당신이 수호휘사신가요?"""
pr_068010_0100#0,"""응, 그런데…<br>그쪽은…?"""
pr_068010_0110#0,"""전 아스나라고 해요.<br>오늘 처음 시작한 뉴비예요."""
pr_068010_0120#0,"""실은 로그인을 했더니<br>튜토리얼도 없이 여기 느닷없이 툭 던져놔서요."""
pr_068010_0130#0,"""어, 뉴비?<br>튜토리얼이 뭐야…?"""
pr_068010_0140#0,"""역시 그렇게 말씀하시네요…<br>이 세계에 오고 나서 몇 분한테 말을 걸어봤는데"""
pr_068010_0150#0,"""다들 반응이 당신이랑 똑같더라고요."""
pr_068010_0160#0,"""그때 곤란한 일이 생기면<br>수호휘사한테 상담해보라고 해서<br>당신들을 찾고 있었어요."""
pr_068010_0170#0,"""음, 곤란해 하는 사람은<br>될 수 있으면 도와주고 싶은데."""
pr_068010_0180#0,"""일단 이야기는 들어보자"""
pr_068010_0190#0,"""부탁하니 어쩔 수 없지"""
pr_068010_0200#0,"""응, 그러자.<br>우리가 힘이 되어 줄 수 있는 일이면 도와줄게."""
pr_068010_0210#0,"""고마워!<br>다시 소개할게, 난 아스나라고 해."""
pr_068010_0220#0,"""난 마토이야.<br>이 사람은…"""
pr_068010_0225#0,"""<%me>"""
pr_068010_0230#0,"""둘 다 잘 부탁할게."""
pr_068010_0240#0,"""그리고 이쪽은 키리토.<br>오늘 나랑 같이 이 세계에 왔어."""
pr_068010_0290#0,"""키리토라고 해. 잘 부탁해.<br>만나자마자 미안하지만<br>너희 둘은 이 게임한 지 오래 됐어?"""
pr_068010_0300#0,"""어… 게임?"""
pr_068010_0310#0,"""……<br>이 세계 정보를 알려줄래?<br>여긴 어디고 어떤 곳인지."""
pr_068010_0460#0,"""…음, 여긴<br>「오라클 선단」 중 하나인<br>「아크스 쉽」 내부고…"""
pr_068010_0470#0,"""우리는 행성 조사대<br>「아크스」 일원인데<br>…이렇게 설명하면 맞으려나?"""
pr_068010_0480#0,"""정확해"""
pr_068010_0490#0,"""질문이랑 대답이 다르잖아?"""
pr_068010_0500#0,"""응, 그렇지?<br>그런데 왜 그런 당연한 질문을?"""
pr_068010_0510#0,"""그러네, 일부러 그런 당연한 질문은 안 할 테니까…"""
pr_068010_0520#0,"""미안해, 키리토라고 했지?<br>난 네가 궁금해 하는 게 뭔지 이해가 잘 안 가는데…"""
pr_068010_0530#0,"""…그래."""
pr_068010_0540#0,"""둘 다 고마워.<br>우린 이 세계를 좀 더 둘러볼게."""
pr_068010_0550#0,"""으, 응?"""
pr_068010_0560#0,"""궁금한 게 또 생기면 부를 테니까<br>많이 알려주면 고맙겠어."""
pr_068010_0570#0,"""응, 그건 당연히 알려주겠는데…"""
pr_068010_0580#0,"""자, 가자. 아스나."""
pr_068010_0590#0,"""어? 키, 키리토?<br>하지만…"""
pr_068010_0610#0,"""그래….<br>둘 다 많이 가르쳐 줘서 고마워.<br>그럼 안녕."""
pr_068010_0620#0,"""아, 응, 다음에 또 만나자."""
pr_068010_0630#0,"""…갔네.<br>뭔가 이상한 사람들이었어."""
pr_068010_0640#0,"""그러게요.<br>그 두 사람은 아마 아크스가 아닐 거예요."""
pr_068010_0650#0,"""시에라!<br>뭐? 아크스가 아니라는 게 무슨 말이야?"""
pr_068010_0660#0,"""네. 두 분은 아마 지구에서<br>『PSO2』를 통해 오신 것 같네요."""
pr_068010_0670#0,"""『PSO2』면 분명…<br>히츠기네가 있는<br>지구에서 유행하는 게임? 이랬나?"""
pr_068010_0680#0,"""네. 마더가 이쪽 세계에<br>접속하려고 만든 게임.<br>그게 바로 『PSO2』예요."""
pr_068010_0690#0,"""전엔 소질만 있으면<br>누구나 이쪽 세계로 올 수 있었지만…"""
pr_068010_0700#0,"""지금은 제한이 걸려 있어<br>관계자를 제외하면 접속할 수 없을 텐데요…"""
pr_068010_0710#0,"""그럼 그 둘도 관계자야?"""
pr_068010_0720#0,"""아니요. 어스 가이드 엔가 씨도<br>그런 말은 하지 않으셨어요."""
pr_068010_0730#0,"""…그런데 신경 쓰이네요.<br>전 엔가 씨한테 연락해 조사해 볼게요."""
pr_068010_0740#0,"""두 분은<br>그 분들이 위험에 빠지지 않게<br>같이 행동해 주세요."""
pr_068010_0750#0,"""이쪽 세계를<br>게임이라고 인식하는 것 같아서<br>무슨 일이 일어날지도 몰라요."""
pr_068010_0760#0,"""응, 그럴게.<br>임무처럼 돼 버렸는데…<br>열심히 해볼게!"""
pr_068010_0770#0,"""어라?  그런데…<br>갑자기 통신이 왔는데 시에라가<br>지금 상황을 어떻게 알았어?"""
pr_068010_0780#0,"""그야 당연히 수호휘사 두 분이<br>사이좋게 외출하시는 걸 알고<br>궁금해서 엿보다… 아."""
pr_068010_0790#0,"""엿보고 있었어!?<br>정말! 시에라!"""
pr_068010_0800#0,"""<%me> 씨!<br>뒤는 맡길게요!<br>이만 실례!"""
pr_068010_0810#0,"""키리토,<br>그 둘, NPC는 아니지…?"""
pr_068010_0820#0,"""응. 그런데 그 둘은 플레이어도 아니고<br>이 세계가 게임이라고 생각하지도 않아."""
pr_068010_0830#0,"""여기가 현실 세계인 줄 알고 살아가고 있을 거야."""
pr_068010_0840#0,"""응, 나도 그렇게 생각해.<br>그리고 우리 모습도…"""
pr_068010_0850#0,"""《ALO》에서 컨버트했는데<br>어째선지 《SAO》때 착용했던<br>장비가 적용돼 있어."""
pr_068010_0860#0,"""단순한 게임이 아니야…<br>아 참, 로그아웃은!?"""
pr_068010_0870#0,"""메뉴 표시가 있으니까<br>로그아웃은 할 수 있는… 것 같아."""
pr_068010_0880#0,"""후우…<br>일단 위험하진 않아 보이네."""
pr_068010_0890#0,"""여러가지 마음에 걸리는 점은 있지만<br>기껏 컨버트까지 해서 여기 왔으니<br>일단 이 세계를 조사해보자."""
