text01#0,"""왔구나!<br>다시 한번<br>내 소개를 할게!"""
text02#0,"""난 키리토.<br>아직 오라클은 익숙지 않으니까<br>여러모로 신세를 질게. 잘 부탁해!"""
text01#1,"""내 옷 말이야?<br>뭐, 여기에선 별로 못 보던<br>옷일지도?"""
text02#1,"""밝은 색은 취향이 아녀서…<br>그만 비슷한 장비에<br>손이 갔어."""
11_voice_NPC_5664_100#0,"""이 옷 덕분에 예전엔<br>《검은 검사》라고<br>불렸었어."""
text04#0,"""여기서도 좋아 보이는<br>장비를 얻으면<br>그걸 시험해 볼까?"""
text01#2,"""너희가 조금 전<br>다른 아크스한테<br>둘러 싸인 걸 봤어.<br>수호휘사는 인기 절정이네."""
11_voice_NPC_5664_106#0,"""몇 번이나 이 세계를 구했다고…？"""
text03#0,"""그렇군. 너희는<br>이 세계에선 영웅이겠네.<br>그 얘기는 언젠간 천천히 들려줘. """
text01#3,"""어쩐지<br>이해해 주는 것 같지만<br>다시 한번 말할게."""
text02#2,"""우린<br>여기와는 좀 다른<br>세계에서 왔어."""
text03#1,"""아, 딱히 원래 세계로<br>못 돌아가는 것도 아니니까<br>그건 걱정 마."""
text04#1,"""우리도 여기 있는 동안엔<br>아크스로서 생활하려고 해."""
text05#0,"""선배로서 이것저것<br>알려준다면 도움이 될 거야.<br>잘 부탁해."""
text01#4,"""『오라클』이라…<br>우연히 알게 돼서 찾아왔지만<br>뭔가 운명적인 느낌이야."""
text02#3,"""여러 아크스들이<br>각자 뭔가에 온 힘을 다해서<br>현재의 삶을 살아가."""
text03#2,"""그건,<br>어느 세계 건 어떤 세계 건<br>변치 않는 걸<br>다시 한번 깨달았어."""
text04#2,"""곧 원래 세계로<br>돌아가야 하지만<br>여기에서 있던 일은<br>결코 잊지 않을게."""
text05#1,"""…자、아직 가고 싶은 곳이나<br>하고 싶은 게 많아.<br>수호휘사! 같이 가줄거지?"""
