name_7425#0,"""Adila"""
ssn_012030_0001#0,"""¡Bienvenidos a Ciudad Central!"""
ssn_012030_0002#0,"""¡Siempre es agradable conocer gente nueva! Vamos a patear el culo ahí fuera!"""
ssn_012030_0101#0,"""¡Tú eres el recién llegado que mencionó Bruder! ¡He oído todo sobre ti! Estás aprendiendo a tener ventaja en la batalla, ¿verdad?"""
ssn_012030_0102#0,"""Veamos...<br>¿Sabes cómo añadir habilidades especiales a tu equipo?"""
ssn_012030_0103#0,"""¡Si no lo sabes, estaré encantado de explicártelo!"""
ssn_012030_0104#0,"""¡Muy bien! Entonces, ¡escucha!"""
ssn_012030_0105#0,"""Básicamente, las habilidades especiales son pequeñas bonificaciones que modifican el rendimiento de tus armas y armaduras."""
ssn_012030_0106#0,"""La próxima vez que tengas los datos de tu equipo delante de ti, míralos con atención."""
ssn_012030_0107#0,"""Así que... puedes poner varias Habilidades Especiales en la misma pieza de equipo, e incluso cambiarlas por otras diferentes."""
ssn_012030_0108#0,"""Puedes añadir habilidades especiales en el laboratorio de objetos. Pero necesitarás 'Cápsulas de habilidades especiales' si quieres probarlas tú mismo..."""
ssn_012030_0109#0,"""¡Te daré algunas de mis cápsulas de habilidades especiales! Llévalas al laboratorio y pruébalas"""
ssn_012030_0201#0,"""¿No? ¡Pues si alguna vez quieres oírlo, aquí estaré!"""
