name_7657#0,"""Adila"""
ssn_005060_0001#0,"""¡Bienvenidos a Ciudad Central!"""
ssn_005060_0002#0,"""¡Siempre es agradable conocer gente nueva! Vamos a patear traceros ahí fuera!"""
ssn_005060_0101#0,"""Dime, ¿sabes cómo añadir habilidades especiales a tu equipo?"""
ssn_005060_0051#0,"""¡Si no lo sabes, estaré encantado de explicártelo!"""
ssn_005060_0052#0,"""Bien! Entonces, ¡escucha!"""
ssn_005060_0102#0,"""Básicamente, las habilidades especiales son pequeñas bonificaciones que modifican el rendimiento de tus armas y armaduras."""
ssn_005060_0103#0,"""La próxima vez que tengas los datos de tu equipo delante, échale un vistazo con atención."""
ssn_005060_0104#0,"""Básicamente, puedes mezclar las Habilidades Especiales con diferentes equipos, o incluso hacer coincidir las Habilidades Especiales de todos ellos."""
ssn_005060_0105#0,"""Deberías intentarlo al menos una vez."""
ssn_005060_0106#0,"""Puedes añadir habilidades especiales en el laboratorio de objetos. Pero necesitarás 'Cápsulas de habilidades especiales' si quieres probarlas tú mismo..."""
ssn_005060_0107#0,"""¡Pero espera, hay más!"""
ssn_005060_0108#0,"""¡Te daré algunas de mis cápsulas de habilidades especiales! Llévalas al laboratorio y pruébalas"""
ssn_005060_0201#0,"""Entonces, ¿qué piensas de la sintonización de la Habilidad Especial ahora que la has probado?"""
ssn_005060_0202#0,"""Una Habilidad Especial no supondrá una gran diferencia; es cuando añades varias a una sola pieza cuando realmente notas las mejoras"""
ssn_005060_0203#0,"""¡Intenta personalizarla para que se ajuste a tu propio estilo y diviértete con ella!"""
ssn_005060_0301#0,"""¿No? Pues si alguna vez quieres escucharlo, ¡aquí estaré!"""
