name_7211#0,"""シャンディー"""
ssn_019030_002_0001#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019030_002_0002#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019030_002_0003#0,"""今回はその……本当にちょっとしたお願いなんですが、<br>この時期だけシティ内で見られる、不思議なホログラフィックがありまして。"""
ssn_019030_002_0004#0,"""ミスチーフシンボルっていうんですが、<br>それを見かけたら教えてほしいんです。"""
ssn_019030_002_0005#0,"""今発生しているミスチーフシンボルは、眺めていると<br>なんだかウキウキした気分になってきます。不思議な感覚です。"""
ssn_019030_002_0006#0,"""変異が確認されているのはセントラルシティの中だけで、<br>エネミーなどには変化がありませんので、ゆっくり探してもらえればと思います。"""
ssn_019030_002_0007#0,"""もちろんお礼はしますので。"""
ssn_019030_002_0008#0,"""よろしくお願いしますね。"""
ssn_019030_002_0009#0,"""来てくれて、ありがとうございます。"""
ssn_019030_002_0010#0,"""時期ごとに現れるホログラフィックには、<br>まだまだ未解明な部分が多いんです。"""
ssn_019030_002_0011#0,"""シティの機能の一部……と考えられているんですが、<br>どこのシステムで制御されているのか、わかってないんですよね。"""
