11_voice_NPC_5021_100#0,"""Excellent. I see you're one of the good ones. My fears were completely unfounded, then."""
text02#0,"""Partner cards allow you to invite the person on the card to join you on your quest, even after it starts."""
text03#0,"""Heh. This reminds me of the old days, when I'd partner up with just about anyone..."""
tutorial00#0,"""Client Orders"""
tutorial01#0,"""Marlu has issued a client order.  Marlu is in the gate area central hall."""
tutorial02#0,"""Ohza has issued a client order.  Ohza is in the gate area central hall."""
tutorial03#0,"""Lisa has issued a client order.  Lisa is in the gate area central hall."""
tutorial04#0,"""Azanami has issued a client order.  Azanami is in the gate area central hall."""
tutorial05#0,"""A new client order is available for Saga.<br><br>Saga can be found in the gate area, by the central teleporter."""
tutorial06#0,"""A new client order is available for Katori.<br><br>Katori can be found in the gate area, by the central teleporter."""
tutorial07#0,"""ピエトロにクライアントオーダーが発生しました。<br><br>ピエトロはゲートエリア・アークスカウンターにいます。"""
