msq_012160_0105#0,"""เกือบไปแล้ว ขอบใจนะ"""
msq_012160_0010#0,"""ดีจังที่พวกเรามาทันเวลา"""
msq_012160_0020#0,"""...หืม? มีอะไรอยู่ตรงนั้นน่ะ"""
msq_012160_0030#0,"""นั่นมัน... ดูเหมือนจะเป็นเส้นทางสำหรับขนส่งแร่ที่ขุดได้เลยนะ"""
msq_012160_0040#0,"""ใช่แล้วล่ะ ทีนี้พวกเราก็น่าจะกลับมาดำเนินการขุดแร่กันต่อได้แล้ว"""
msq_012160_0050#0,"""ขอบใจพวกเธอมากเลยนะ"""
msq_012160_0060#0,"""ภารกิจลุล่วงแล้วสินะ"""
msq_012160_0070#0,"""นั่นสินะ พวกเรากลับไปรายงานที่เมืองเรเทม (Retem City) กันเถอะ"""
name010#0,"""ไอน่า (Aina)"""
name020#0,"""มาน่อน (Manon)"""
name030#0,"""ARKS หน่วยขุดแร่ (Mining ARKS)"""
