a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""Merry Christmas on Ice 2020"""
Explanation#0,"""This is a training mission that recreates<br>the Christmas venue in VR Space in order<br>to improve morale!<br>We can't offer any Christmas presents,<br>but we can provide many useful support<br>weapons and support effects. Use them<br>to defeat as many enemies as you can!<br>――――――――――――――――――――<br>Defeat the enemy in the final area to clear<br>Quest ends when time limit expires"""
NpcComMsg1#0,"""This VR training is about to begin!<br>Defeat every enemy you encounter<br>as fast as you possibly can!"""
NpcComMsg2#0,"""The training consists of 3 waves.<br>At the start of each wave, I will<br>contact you with more information."""
NpcComMsg3#0,"""If you can meet the objectives we<br>present you with, you'll be able to<br>turn the battle to your advantage.<br>Good luck out there!"""
SimpleExplanation#0,"""Defeat all of the enemies!"""
Area0S#0,"""Tundra Area 1"""
Area0L#0,"""Planet Naberius: Tundra Area 1"""
Area1S#0,"""Tundra Area 2"""
Area1L#0,"""Planet Naberius: Tundra Area 2"""
