msc_031070_0010#0,"""무사히 잘 돌아왔어…."""
msc_031070_0020#0,"""그 커바란 폭발 이후에 연락이 두절됐고…."""
msc_031070_0030#0,"""역시 틀렸나 하고 생각했어."""
msc_031070_0040#0,"""바엘과의 싸움 이후에,<br>무슨 일이 있었던 거야?"""
msc_031070_0050#0,"""제페토가 도와준 것… 같아."""
msc_031070_0060#0,"""나도 잘 모르겠어."""
msc_031070_0070#0,"""제페토가?"""
msc_031070_0080#0,"""그, 그렇구나…."""
msc_031070_0090#0,"""…뭐, 그런 싸움을 치룬 뒤였으니까."""
msc_031070_0100#0,"""아직은 조금 혼란스러울 수도 있겠네."""
msc_031070_0110#0,"""진정이 되면 다시 들려줘."""
msc_031070_0120#0,"""여기 상황은 어때?"""
msc_031070_0130#0,"""스타레스의 공격은 어떻게 됐어?"""
msc_031070_0140#0,"""아, 스타레스의 공격은<br>무사히 물리칠 수 있었어."""
msc_031070_0150#0,"""각 지역의 아크스의<br>긴밀안 협력 덕분이지."""
msc_031070_0160#0,"""응.<br>문제 없이 해치웠어."""
msc_031070_0170#0,"""각 지역의 아크스의<br>긴밀안 협력 덕분이지."""
msc_031070_0180#0,"""그래서, 우리는<br>너의 싸움에 대한 지원에 집중할 수 있었어."""
msc_031070_0190#0,"""…너희들의 활약으로,<br>바엘의 위협은 사라졌어."""
msc_031070_0200#0,"""다시 한 번 감사를 표할게."""
msc_031070_0210#0,"""정말 고마워."""
msc_031070_0220#0,"""크로포드…."""
msc_031070_0230#0,"""응?"""
msc_031070_0240#0,"""이걸로 스타레스와의 싸움은<br>끝난…걸까?"""
msc_031070_0250#0,"""그건…."""
msc_031070_0260#0,"""안타깝지만,<br>그렇게 될 것 같진 않아."""
msc_031070_0270#0,"""바엘은, 스타레스를 지배하는 존재야."""
msc_031070_0280#0,"""제페토가 말했던 것은,<br>사실인 것 같아."""
msc_031070_0290#0,"""하지만, 스타레스는 지도자를 잃은 상태일 뿐이지,<br>활동이 중단되는 것은 아닌 것 같아."""
msc_031070_0300#0,"""이루마의 말대로, 스타레스와의 싸움은<br>아직 끝나지 않았다고 생각해야 할 것 같아."""
msc_031070_0310#0,"""…그럼에도, 이번과 같은 위협은<br>한동안을 볼 일 없다고 생각하고 싶지만."""
msc_031070_0320#0,"""그, 그렇구나…."""
msc_031070_0330#0,"""…아직 싸움은 계속되는구나."""
msc_031070_0340#0,"""내가 어떻게든 할게."""
msc_031070_0350#0,"""모두 함께라면 괜찮아."""
msc_031070_0360#0,"""응.<br>하지만, 네 힘에만 의존해서는 안돼."""
msc_031070_0370#0,"""응. 그렇지."""
msc_031070_0380#0,"""앞으로도,<br>전력을 끌어올려야겠지."""
