00_01#0,"""선택지 1"""
00_02#0,"""선택지 2"""
TALK_ST#0,"""대화한다"""
C_ORDER_ST#0,"""상담을 듣는다"""
Q0#0,"""게임 방법을 빠짐없이 설명해 줄게곰"""
HELLO#0,"""게임 방법을 빠짐없이 설명해 줄게곰"""
HELLO_FAV4#0,"""게임 방법을 빠짐없이 설명해 줄게곰"""
HELLO_FAV3#0,"""게임 방법을 빠짐없이 설명해 줄게곰"""
HELLO_FAV2#0,"""게임 방법을 빠짐없이 설명해 줄게곰"""
HELLO_FAV1#0,"""게임 방법을 빠짐없이 설명해 줄게곰"""
HELLO_FAV0#0,"""게임 방법을 빠짐없이 설명해 줄게곰"""
GOODBYE#0,"""만석이면 자리가 날 때까지 기다려 줘곰"""
GOODBYE_FAV4#0,"""만석이면 자리가 날 때까지 기다려 줘곰"""
GOODBYE_FAV3#0,"""만석이면 자리가 날 때까지 기다려 줘곰"""
GOODBYE_FAV2#0,"""만석이면 자리가 날 때까지 기다려 줘곰"""
GOODBYE_FAV1#0,"""만석이면 자리가 날 때까지 기다려 줘곰"""
GOODBYE_FAV0#0,"""만석이면 자리가 날 때까지 기다려 줘곰"""
