Title#0,"""T:Гонка за Фантом Матерью"""
Explanation#0,"""衛星・月において制御を失ったエーテルが<br>暴走励起し、超巨大幻創種の反応が出現。<br>暴走したエーテルが集い、地球へと向かう<br>柱状物質を創造し、超巨大幻創種を<br>地球へと導こうとしている。<br>アークス各員は追撃用の改良を施した<br>ライドロイドを用い目標を追跡、撃破せよ。<br>――――――――――――――――――――<br>失敗条件／制限時間の経過"""
SimpleExplanation#0,"""Победите ESC-A Фальц Мать!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
NpcComMsg1#0,"""Мы засекли большого фантома<br>на поверхности луны. Начинаем<br>телепортацию."""
NpcComMsg2#0,"""Поскольку цель движется быстро,<br>нам нужно, чтобы вы<br>приследовали цель с помощью<br>райдроида и постарались<br>победить её!"""
Area0S#0,"""Лунная поверхность"""
Area0L#0,"""Спутник - Лунная поверхность"""
Area1S#0,"""Фантомный столп"""
Area1L#0,"""Спутник - Фантомный столп"""
Area1S#1,"""Лунная поверхность"""
Area1L#1,"""Спутник - Лунная поверхность"""
QuestInfoPlanetName#0,"""Спутник - Луна"""
