Title#0,"""Желание Матери"""
Explanation#0,"""マザー・クラスタの本拠、月の中枢へと向かう<br><%me>達。<br>マザーを倒し、アルを助けるために<br>それぞれの想いと願いが、ぶつかり合う。<br>――――――――――――――――――――<br>Поражение: возвращение после смерти"""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""Спутник Луна"""
Area0S#0,"""Спутник Луна"""
Area0L#0,"""Спутник Луна - подземный центр сооружения"""
Area1S#0,"""Спутник Луна"""
Area1L#0,"""Спутник Луна - подземный центр сооружения"""
Area2S#0,"""Спутник Луна"""
Area2L#0,"""Спутник Луна - подземный центр сооружения"""
Area3S#0,"""Спутник Луна"""
Area3L#0,"""Спутник Луна - подземный центр сооружения"""
Area4S#0,"""Спутник Луна"""
Area4L#0,"""Спутник Луна - подземный центр сооружения"""
