Title#0,"""T: Вторжение Тьмы"""
Explanation#0,"""アークス各員に緊急連絡。<br>ダークファルス【巨躯】による<br>アークスシップへの襲撃が開始された。<br>また、侵食された旧マザーシップ内からも<br>強大なダーカー反応が確認されている。<br>事態は深刻だ。各員、準備が出来次第<br>【巨躯】の襲撃を速やかに阻止し<br>旧マザーシップに現れた敵を迎撃せよ。<br>――――――――――――――――――――<br>Поражение: не выполнены условия, время истекло."""
SimpleExplanation#0,"""Победите обоих Дарк Фальцев!"""
Area0S#0,"""Обломки кораблей ARKS """
Area0L#0,"""Обломки кораблей ARKS - палуба, местность 1 """
Area1S#0,"""Зараженный материнский корабль """
Area1L#0,"""Зараженный материнский корабль - внутри, местность 1 """
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
NpcComMsg1#0,"""準備はできたようだな。<br>これから恐らくダークファルスの<br>連戦となることが予想される……"""
NpcComMsg2#0,"""まずは【巨躯】の正面へ転送する。<br>すみやかに撃退し、次に備えてくれ。<br>厳しい戦いとなるが……必ず生還しろ。"""
NpcComMsg1#1,"""【敗者】が姿を現したようです。<br>これからダークファルスの元に<br>転送を行います。"""
NpcComMsg2#1,"""【巨躯】との戦いで疲弊した皆さんを<br>私は……送り出すことしかできません。<br>……どうか、どうか無事に帰還を。"""
