Title#0,"""Основы Тектера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание 1: тренировка с вэндом<br>Задание 2: используйте Resta<br>Задание 3: используйте Zanverse<br>Задание 4: используйте Zondeel<br>Задание ５：боевая подготовка"""
SimpleExplanation#0,"""Выполните 5 заданий!"""
Training1#0,"""Атакуйте взрывной техникой"""
Training2#0,"""Востановите HP используя Resta"""
Training3#0,"""Нанесите дополнительный урон, используя Zanverse"""
Training4#0,"""Притяните врагов, используя Zondeel"""
Training5#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
Retry_5#0,"""Задание 5"""
