Title#0,"""Одиночная трен.: Границы заражения"""
Explanation#0,"""こちらは相応の実力を持つ者を<br>対象とした特別訓練プログラムである。<br>適時的確な判断を瞬時に下せる技術を<br>身に付けるため、全て「単独」で行い<br>本プログラムを制覇せよ。<br>なお、危険性の高い訓練プログラムのため<br>使用するには、２２時間に１回発行される<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>Поражение: возвращение после смерти"""
SimpleExplanation#0,"""Пройдите 5 этапов!"""
Area0S#0,"""VR-космос (Экстрим) местность"""
Area0L#0,"""VR-космос (Экстрим) местность"""
Area1S#0,"""VR-космос (Экстрим) местность"""
Area1L#0,"""VR-космос (Экстрим) местность"""
Area2S#0,"""VR-космос (Экстрим) местность"""
Area2L#0,"""VR-космос (Экстрим) местность"""
Area3S#0,"""VR-космос (Экстрим) местность"""
Area3L#0,"""VR-космос (Экстрим) местность"""
Area4S#0,"""VR-космос (Экстрим) местность"""
Area4L#0,"""VR-космос (Экстрим) местность"""
QuestInfoAreaName#0,"""VR-космос (Экстрим)"""
a2#0,"""Вы должны заплатить 1 Extreme Pass<br>на челноке."""
