Title#0,"""Решимость"""
Explanation#0,"""マザー・クラスタに攫われた<br>ヒツギを救出するため<br><%me>とエンガは<br>マザー・クラスタの本拠地がある<br>月へと向かう。<br>いかなる敵が待ち受けているか<br>不明だとしても。<br>――――――――――――――――――――<br>Поражение: возвращение после смерти<br>"""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""Спутник Луна"""
Area0S#0,"""Заброшенное сооружение"""
Area0L#0,"""Спутник Луна - заброшенное сооружение"""
Area1S#0,"""Заброшенное сооружение"""
Area1L#0,"""Спутник Луна - заброшенное сооружение"""
Area2S#0,"""Заброшенное сооружение"""
Area2L#0,"""Спутник Луна - заброшенное сооружение"""
Area3S#0,"""Заброшенное сооружение"""
Area3L#0,"""Спутник Луна - заброшенное сооружение"""
Area4S#0,"""Торговая площадь"""
Area4L#0,"""Корабль ARKS - Торговая площадь"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
