Title#0,"""День принятия решения"""
Explanation#0,"""\""Набериус. Где мы дали обещание. Я буду ждать.\"":<br>слова сказанные [Персона]. С ними становится<br>ясен следующий пункт назначения. 10 лет назад<br>было дано обещание. Наше обещание. Обещание,<br>ведомое только нам двоим. Всё будет<br>раскрыто в судьбоносном воссоединении.<br>――――――――――――――――――――<br>Поражение: возвращение после смерти"""
SimpleExplanation#0,"""？？？"""
Area0S#0,"""Лесная местность"""
Area0L#0,"""Набериус - Лесная местность"""
Area1S#0,"""Искаженная местность, Руины"""
Area1L#0,"""Набериус - искажённые Руины"""
Area2S#0,"""Искаженная местность, Лес 1"""
Area2L#0,"""Набериус - искажённый Лес 1"""
Area3S#0,"""Искаженная местность, Лес 2"""
Area3L#0,"""Набериус - искажённый Лес 2"""
Area4S#0,"""Искаженная местность, Лес 3"""
Area4L#0,"""Набериус - искажённый Лес 3"""
Area5S#0,"""Искаженная местность, Руины"""
Area5L#0,"""Набериус - Искаженные Руины"""
